Frame,X,Y
0,,
1,801,995
2,,
3,799,1004
4,,
5,692,908
6,1251,409
7,1237,405
8,1251,411
9,598,985
10,728,56
11,629,167
12,553,113
13,623,172
14,573,112
15,619,173
16,628,147
17,649,173
18,667,122
19,604,163
20,631,169
21,741,153
22,742,154
23,614,200
24,685,229
25,700,169
26,650,173
27,677,205
28,661,182
29,662,194
30,724,151
31,652,181
32,695,194
33,709,191
34,731,185
35,727,197
36,755,195
37,809,170
38,746,173
39,872,170
40,811,706
41,760,123
42,626,133
43,788,136
44,853,757
45,866,752
46,874,749
47,889,748
48,898,748
49,908,751
50,928,752
51,841,133
52,869,161
53,951,745
54,956,739
55,970,735
56,975,733
57,981,728
58,779,111
59,1003,718
60,859,121
61,1015,716
62,787,105
63,1034,705
64,1042,701
65,1049,703
66,1053,694
67,1064,693
68,1069,687
69,1076,685
70,1082,682
71,1091,680
72,1093,680
73,1089,667
74,1106,673
75,1117,670
76,1123,668
77,1127,663
78,1123,658
79,1136,659
80,807,76
81,1144,655
82,1141,655
83,1151,645
84,1157,646
85,1169,643
86,817,82
87,1177,643
88,1183,637
89,1185,640
90,1189,637
91,1193,633
92,1198,627
93,1196,628
94,1202,628
95,1204,622
96,1185,604
97,1209,621
98,1211,622
99,1211,616
100,1210,619
101,1217,616
102,1227,601
103,1222,611
104,1226,610
105,1211,603
106,1228,605
107,1234,615
108,1240,619
109,1232,602
110,1233,602
111,1246,602
112,1237,598
113,1241,598
114,1235,599
115,1093,212
116,1252,586
117,1256,581
118,1247,580
119,1257,579
120,1247,568
121,1091,215
122,1091,208
123,1084,213
124,1089,213
125,1273,556
126,1271,555
127,1089,212
128,1274,550
129,1087,200
130,944,208
131,1282,533
132,1087,196
133,1085,191
134,1288,520
135,1256,427
136,961,145
137,1088,190
138,1085,184
139,1087,182
140,1303,505
141,1085,182
142,1085,181
143,1087,184
144,1264,423
145,326,643
146,350,647
147,1312,489
148,1315,487
149,464,590
150,445,596
151,1316,483
152,1319,487
153,1323,482
154,1321,479
155,1321,472
156,505,337
157,1319,482
158,538,467
159,1323,469
160,1327,475
161,1334,571
162,1323,467
163,1325,467
164,1325,470
165,605,457
166,1322,557
167,1321,469
168,839,385
169,841,415
170,778,901
171,853,874
172,862,463
173,883,460
174,848,495
175,976,873
176,962,877
177,1001,892
178,1018,875
179,1033,903
180,1028,869
181,938,511
182,892,443
183,1060,851
184,1054,891
185,595,398
186,1111,902
187,619,389
188,577,429
189,583,427
190,646,358
191,573,429
192,661,406
193,661,405
194,597,573
195,661,387
196,1033,398
197,604,514
198,579,433
199,607,541
200,838,110
201,845,101
202,853,101
203,861,107
204,871,95
205,1051,399
206,1049,406
207,1057,397
208,901,77
209,907,89
210,904,89
211,913,115
212,916,109
213,873,97
214,718,755
215,613,411
216,919,107
217,917,110
218,1207,581
219,1172,583
220,1262,452
221,1309,472
222,1097,208
223,1229,337
224,1094,215
225,923,106
226,1105,207
227,1088,181
228,1108,211
229,1117,215
230,1112,212
231,932,107
232,1177,77
233,935,106
234,1177,88
235,556,548
236,1291,596
237,561,547
238,545,548
239,585,557
240,615,443
241,559,555
242,586,561
243,975,621
244,982,626
245,1045,577
246,953,641
247,427,620
248,425,621
249,563,561
250,1280,629
251,535,580
252,1718,884
253,1676,825
254,535,604
255,1790,181
256,591,555
257,1281,550
258,1288,554
259,562,958
260,373,623
261,899,163
262,758,653
263,547,680
264,739,724
265,706,722
266,1648,754
267,725,760
268,464,812
269,538,827
270,515,848
271,1643,883
272,1700,993
273,1629,916
274,694,939
275,440,775
