Frame,X,Y
0,,
1,,
2,,
3,,
4,,
5,,
6,1255,410
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,621,184
18,,
19,659,141
20,629,55
21,657,127
22,,
23,633,172
24,601,207
25,1135,403
26,658,165
27,651,181
28,,
29,,
30,,
31,754,155
32,701,193
33,700,121
34,670,256
35,745,173
36,823,149
37,837,159
38,823,154
39,772,191
40,625,148
41,800,164
42,629,134
43,1147,401
44,1147,403
45,1147,403
46,879,757
47,851,148
48,813,148
49,919,760
50,865,157
51,859,153
52,859,151
53,853,145
54,865,142
55,970,745
56,991,745
57,1001,739
58,,
59,1003,718
60,773,61
61,,
62,,
63,1034,705
64,1042,701
65,1045,691
66,1063,695
67,1060,692
68,1069,687
69,1076,685
70,1083,685
71,1091,680
72,1089,676
73,861,67
74,1106,673
75,1117,670
76,1124,667
77,1126,665
78,1131,659
79,1136,659
80,923,106
81,1148,658
82,1159,650
83,1155,650
84,1162,651
85,1165,643
86,1177,643
87,1171,643
88,1177,639
89,1185,640
90,1189,637
91,1195,633
92,1202,625
93,1193,628
94,,
95,1203,625
96,1207,623
97,1209,621
98,1211,622
99,1210,620
100,1217,617
101,1213,626
102,1221,615
103,1225,611
104,1223,616
105,1227,605
106,1232,613
107,1231,605
108,,
109,1226,593
110,1235,604
111,1240,598
112,1232,595
113,1244,591
114,352,623
115,1666,913
116,1095,209
117,1251,596
118,1250,583
119,1253,583
120,1267,580
121,1091,215
122,1090,215
123,1087,211
124,1267,563
125,1088,211
126,1269,545
127,1089,212
128,1089,205
129,1085,201
130,1085,203
131,1281,530
132,1085,193
133,1085,191
134,1288,520
135,1289,520
136,,
137,1303,622
138,1295,508
139,1301,502
140,1264,423
141,1088,181
142,,
143,1251,415
144,1085,183
145,1309,605
146,350,647
147,1312,490
148,1310,489
149,,
150,,
151,1309,488
152,1319,487
153,1323,482
154,1321,483
155,1321,472
156,,
157,1321,481
158,,
159,1327,470
160,1327,475
161,1333,569
162,1323,467
163,1322,469
164,1322,471
165,,
166,1315,471
167,1321,469
168,1313,463
169,,
170,,
171,,
172,885,452
173,,
174,,
175,1058,897
176,,
177,889,571
178,,
179,,
180,1289,536
181,1293,446
182,,
183,1292,443
184,,
185,,
186,1028,787
187,1108,995
188,,
189,982,694
190,,
191,,
192,,
193,995,57
194,989,329
195,629,568
196,640,575
197,1009,397
198,1021,399
199,633,574
200,1009,400
201,1021,415
202,764,176
203,1075,611
204,,
205,1005,398
206,627,565
207,,
208,922,89
209,1192,446
210,1203,445
211,1187,133
212,,
213,,
214,,
215,1639,791
216,635,585
217,1193,185
218,983,560
219,1195,409
220,1203,419
221,1213,439
222,1207,367
223,935,160
224,1156,239
225,968,166
226,1117,1025
227,973,175
228,,
229,1309,117
230,1377,151
231,1163,157
232,770,289
233,609,481
234,628,592
235,875,961
236,1227,481
237,637,596
238,1189,337
239,623,571
240,147,470
241,1346,483
242,1345,499
243,1226,487
244,1009,556
245,1191,64
246,944,740
247,1639,172
248,812,308
249,148,482
250,673,406
251,817,321
252,1335,590
253,622,543
254,525,525
255,1779,803
256,658,190
257,563,1028
258,677,401
259,1705,197
260,655,949
261,1717,772
262,769,485
263,458,262
264,623,637
265,452,782
266,502,680
267,1306,381
268,58,441
269,51,463
270,1701,992
271,435,711
272,429,759
273,220,531
274,1153,710
275,527,891
