Frame,X,Y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,148,76
73,154,82
74,178,79
75,,
76,194,259
77,205,251
78,217,253
79,217,254
80,230,259
81,247,236
82,253,232
83,253,231
84,261,218
85,275,208
86,281,205
87,281,199
88,286,194
89,292,183
90,296,188
91,302,177
92,309,175
93,311,170
94,316,167
95,311,155
96,315,161
97,322,151
98,321,153
99,327,152
100,331,146
101,331,143
102,333,145
103,333,141
104,337,137
105,337,133
106,335,137
107,339,130
108,341,130
109,341,125
110,344,127
111,,
112,345,123
113,,
114,,
115,,
116,,
117,350,112
118,,
119,349,110
120,346,113
121,347,110
122,,
123,,
124,,
125,351,105
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,347,90
146,346,86
147,346,88
148,346,87
149,346,85
150,343,117
151,25,311
152,323,87
153,331,88
154,338,112
155,339,117
156,352,80
157,349,88
158,349,113
159,356,88
160,361,111
161,355,99
162,351,105
163,367,95
164,370,95
165,369,95
166,373,99
167,395,99
168,403,104
169,411,97
170,,
171,419,99
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,379,65
183,365,71
184,379,77
185,365,83
186,373,89
187,370,95
188,364,101
189,313,95
190,321,95
191,,
192,,
193,332,101
194,332,101
195,,
196,,
197,332,101
198,321,101
199,,
200,,
201,333,101
202,,
203,,
204,,
205,332,101
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
