Frame,X,Y
0,148,76
1,148,76
2,148,76
3,148,76
4,148,76
5,148,76
6,148,76
7,148,76
8,148,76
9,148,76
10,148,76
11,148,76
12,148,76
13,148,76
14,148,76
15,148,76
16,148,76
17,148,76
18,148,76
19,148,76
20,148,76
21,148,76
22,148,76
23,148,76
24,148,76
25,148,76
26,148,76
27,148,76
28,148,76
29,148,76
30,148,76
31,148,76
32,148,76
33,148,76
34,148,76
35,148,76
36,148,76
37,148,76
38,148,76
39,148,76
40,148,76
41,148,76
42,148,76
43,148,76
44,148,76
45,148,76
46,148,76
47,148,76
48,148,76
49,148,76
50,148,76
51,148,76
52,148,76
53,148,76
54,148,76
55,148,76
56,148,76
57,148,76
58,148,76
59,148,76
60,148,76
61,148,76
62,148,76
63,148,76
64,148,76
65,148,76
66,148,76
67,148,76
68,148,76
69,148,76
70,148,76
71,148,76
72,148,76
73,154,79
74,178,82
75,186,169
76,194,251
77,205,253
78,217,254
79,217,253
80,230,253
81,247,236
82,253,232
83,253,231
84,261,218
85,275,208
86,281,205
87,281,199
88,286,194
89,292,188
90,296,183
91,302,177
92,309,175
93,311,170
94,311,167
95,315,161
96,316,155
97,321,153
98,322,152
99,327,151
100,331,146
101,331,145
102,333,143
103,333,141
104,335,137
105,337,137
106,337,133
107,339,130
108,341,130
109,341,127
110,344,125
111,344,125
112,345,123
113,346,121
114,347,119
115,348,116
116,349,114
117,349,112
118,349,112
119,349,111
120,348,110
121,348,110
122,348,109
123,349,108
124,350,106
125,351,105
126,351,104
127,351,104
128,350,103
129,350,102
130,350,101
131,350,100
132,350,100
133,349,99
134,349,98
135,349,98
136,349,97
137,349,96
138,348,95
139,348,94
140,348,94
141,348,93
142,348,92
143,347,92
144,347,91
145,347,90
146,346,88
147,346,87
148,346,87
149,346,88
150,343,87
151,331,88
152,331,112
153,331,112
154,338,88
155,339,88
156,349,112
157,349,88
158,352,88
159,355,99
160,355,105
161,356,99
162,361,99
163,367,95
164,369,95
165,370,95
166,373,99
167,395,99
168,403,99
169,411,99
170,415,98
171,415,97
172,415,96
173,412,93
174,408,90
175,404,87
176,401,84
177,397,80
178,394,77
179,390,74
180,386,71
181,383,71
182,379,71
183,379,71
184,373,77
185,370,83
186,370,89
187,365,95
188,364,95
189,325,95
190,325,97
191,325,97
192,328,99
193,332,101
194,332,101
195,332,101
196,332,101
197,332,101
198,329,101
199,329,101
200,329,101
201,332,101
202,332,101
203,332,101
204,332,101
205,332,101
206,332,101
207,332,101
208,332,101
209,332,101
210,332,101
211,332,101
212,332,101
213,332,101
214,332,101
215,332,101
216,332,101
217,332,101
218,332,101
219,332,101
220,332,101
221,332,101
222,332,101
223,332,101
224,332,101
225,332,101
226,332,101
227,332,101
