frame,x,y,radius
46,449,456,35
47,463,439,34
48,479,423,33
49,491,408,33
50,502,394,32
51,515,382,31
52,525,370,30
53,534,358,30
54,546,347,29
55,554,337,28
56,565,327,28
57,573,319,27
58,580,309,27
59,589,301,26
60,596,293,26
61,602,287,25
62,611,278,25
63,617,271,24
64,623,264,24
65,631,257,24
66,636,251,23
67,641,245,23
68,648,239,22
69,653,233,22
70,658,227,22
71,665,221,22
72,669,216,21
73,674,210,21
74,678,205,21
75,684,201,20
76,688,195,20
77,692,190,20
78,696,185,20
79,701,180,20
80,705,177,19
81,709,172,19
82,712,167,19
83,716,163,19
84,721,158,19
85,724,155,18
86,727,150,18
87,731,144,18
88,735,139,18
89,738,135,18
90,741,131,18
91,744,127,18
92,747,122,18
93,749,119,17
94,752,115,17
