frame,x,y,radius
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,890.0,844.0,66.0
38,897.0,837.0,65.0
39,901.0,829.0,64.0
40,909.0,822.0,63.0
41,911.0,813.0,63.0
42,919.0,805.0,62.0
43,923.0,796.0,62.0
44,931.0,788.0,61.0
45,941.0,780.0,60.0
46,944.0,771.0,60.0
47,953.0,763.0,59.0
48,960.0,756.0,59.0
49,961.0,749.0,58.0
50,968.0,743.0,57.0
51,974.0,736.0,57.0
52,974.0,731.0,56.0
53,981.0,723.0,56.0
54,988.0,717.0,55.0
55,995.0,710.0,55.0
56,1002.0,704.0,54.0
57,1004.0,697.0,54.0
58,1011.0,692.0,53.0
59,1018.0,685.0,53.0
60,1025.0,678.0,52.0
61,1027.0,672.0,52.0
62,1033.0,667.0,52.0
63,1040.0,661.0,51.0
64,1042.0,655.0,51.0
65,1049.0,649.0,50.0
66,1055.0,643.0,50.0
67,1061.0,640.0,49.0
68,1062.0,634.0,49.0
69,1070.0,629.0,49.0
70,1077.0,623.0,48.0
71,1084.0,618.0,48.0
72,1084.0,617.0,48.0
73,1089.0,615.0,47.0
74,1096.0,611.0,47.0
75,1100.0,610.0,47.0
76,1100.0,611.0,46.0
77,1105.0,609.0,46.0
78,1106.0,607.0,46.0
79,1111.0,606.0,45.0
80,1111.0,607.0,45.0
81,1115.0,606.0,45.0
82,1118.0,611.0,44.0
83,1119.0,609.0,44.0
84,1125.0,610.0,44.0
85,1130.0,609.0,43.0
86,1130.0,609.0,43.0
87,1135.0,607.0,43.0
88,1136.0,606.0,43.0
89,1140.0,606.0,42.0
90,1140.0,606.0,42.0
91,1146.0,602.0,42.0
92,1146.0,600.0,42.0
93,1150.0,600.0,41.0
94,1155.0,597.0,41.0
95,1154.0,595.0,41.0
96,1159.0,593.0,41.0
97,1160.0,589.0,41.0
98,1164.0,586.0,40.0
99,1165.0,584.0,40.0
100,1169.0,581.0,40.0
101,1168.0,578.0,40.0
102,1173.0,579.0,39.0
103,1174.0,577.0,39.0
104,1174.0,573.0,39.0
105,1178.0,572.0,39.0
106,1178.0,569.0,39.0
107,1179.0,567.0,39.0
108,1178.0,566.0,38.0
109,1181.0,564.0,38.0
110,1182.0,562.0,38.0
111,1181.0,560.0,38.0
112,1184.0,559.0,38.0
113,1184.0,558.0,37.0
114,1184.0,557.0,37.0
115,1184.0,554.0,37.0
116,1188.0,549.0,37.0
117,1187.0,547.0,37.0
118,1186.0,545.0,37.0
119,1186.0,541.0,37.0
120,1186.0,539.0,36.0
121,1189.0,539.0,36.0
122,1189.0,536.0,36.0
123,1188.0,536.0,36.0
124,1186.0,535.0,36.0
125,1186.0,534.0,36.0
126,1187.0,529.0,36.0
127,1186.0,527.0,35.0
128,1187.0,522.0,35.0
129,1187.0,521.0,35.0
130,1190.0,520.0,35.0
131,1190.0,517.0,35.0
132,1190.0,515.0,35.0
133,1190.0,513.0,35.0
134,1192.0,513.0,35.0
135,1192.0,510.0,35.0
136,1195.0,509.0,34.0
137,1197.0,505.0,34.0
138,1202.0,502.0,34.0
139,1206.0,501.0,34.0
140,1211.0,500.0,34.0
141,1215.0,498.0,34.0
142,1216.0,499.0,34.0
143,1218.0,495.0,34.0
144,1221.0,495.0,34.0
145,1222.0,489.0,34.0
146,1224.0,493.0,34.0
147,1222.0,496.0,33.0
148,1223.0,497.0,33.0
149,1228.0,498.0,33.0
150,1228.0,500.0,33.0
151,1231.0,501.0,33.0
152,1236.0,499.0,33.0
153,1238.0,498.0,33.0
154,1236.0,502.0,33.0
155,1237.0,501.0,33.0
156,1236.0,501.0,33.0
157,1240.0,499.0,33.0
158,1242.0,494.0,33.0
159,1239.0,498.0,33.0
160,1236.0,499.0,32.0
161,1235.0,498.0,32.0
162,1233.0,500.0,32.0
163,1228.0,499.0,32.0
164,1229.0,492.0,32.0
165,1231.0,490.0,32.0
166,1227.0,495.0,32.0
167,1227.0,494.0,32.0
168,1227.0,493.0,32.0
169,1228.0,493.0,32.0
170,1230.0,490.0,32.0
171,1229.0,490.0,32.0
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
