frame,x,y
76,1034,753
77,1059,723
78,1077,694
79,1094,668
80,1110,644
81,1129,621
82,1143,599
83,1155,580
84,1168,560
85,1179,543
86,1194,526
87,1204,510
88,1214,495
89,1223,481
90,1231,468
91,1242,456
92,1250,444
93,1258,432
94,1265,422
95,1272,410
96,1279,400
97,1285,391
98,1291,381
99,1297,372
100,1302,364
101,1308,357
102,1313,348
103,1318,339
104,1320,332
105,1325,326
106,1329,319
107,1334,313
108,1335,307
109,1339,301
110,1343,295
111,1344,289
112,1348,284
113,1349,278
114,1353,273
115,1354,268
116,1355,264
117,1357,259
118,1358,255
119,1359,251
120,1359,247
121,1360,243
122,1360,239
123,1360,235
124,1359,231
125,1360,228
126,1359,225
127,1357,221
128,1357,219
129,1356,216
130,1354,213
131,1350,210
132,1350,207
133,1346,205
134,1344,202
135,1341,200
136,1338,198
137,1335,196
138,1331,194
