Frame,X,Y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,1210,499
15,,
16,1159,404
17,,
18,1115,405
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,1189,404
31,,
32,,
33,1192,406
34,,
35,,
36,,
37,,
38,,
39,829,709
40,835,697
41,,
42,811,749
43,836,757
44,841,763
45,871,772
46,895,747
47,909,743
48,904,748
49,909,755
50,911,753
51,935,759
52,950,747
53,955,753
54,970,733
55,976,730
56,977,733
57,981,725
58,993,729
59,1011,717
60,1013,713
61,1017,717
62,1035,703
63,1034,700
64,1040,704
65,1046,701
66,1059,693
67,1070,691
68,1077,685
69,1083,683
70,1083,685
71,1096,679
72,1099,675
73,1107,677
74,1121,670
75,1121,667
76,1125,667
77,1127,669
78,1143,664
79,1142,658
80,1139,655
81,1155,655
82,1160,653
83,1165,644
84,1165,649
85,1177,645
86,1174,645
87,1183,645
88,1190,640
89,1191,634
90,1192,627
91,1177,439
92,1295,440
93,1237,443
94,1201,632
95,1121,439
96,1193,445
97,1174,445
98,1249,442
99,1163,447
100,1159,529
101,1216,614
102,1216,613
103,1225,604
104,,
105,1232,601
106,1231,607
107,1243,601
108,1233,592
109,,
110,1240,599
111,1250,592
112,,
113,,
114,1255,587
115,,
116,1255,589
117,,
118,1259,578
119,1262,581
120,1255,575
121,1255,565
122,1259,571
123,,
124,1271,568
125,1273,555
126,1271,553
127,1289,547
128,1280,548
129,,
130,1275,535
131,1285,537
132,1279,529
133,1295,533
134,1299,521
135,1289,517
136,1291,511
137,,
138,1291,505
139,1303,503
140,,
141,,
142,1300,511
143,1315,500
144,,
145,,
146,1305,497
147,1319,489
148,,
149,,
150,1313,490
151,1309,471
152,,
153,1309,485
154,1321,484
155,,
156,,
157,1321,477
158,1323,473
159,,
160,1324,472
161,1321,473
162,1321,463
163,,
164,,
165,1327,475
166,,
167,826,931
168,1313,461
169,,
170,,
171,,
172,869,712
173,,
174,1310,465
175,,
176,,
177,,
178,1299,454
179,1291,460
180,1297,459
181,,
182,1285,457
183,,
184,,
185,,
186,1277,457
187,1259,457
188,1271,457
189,1258,457
190,1258,455
191,1252,454
192,1249,455
193,1243,532
194,1237,530
195,1238,452
196,1232,455
197,1223,452
198,1221,453
199,1215,453
200,1215,453
201,1211,452
202,1149,451
203,,
204,1219,529
205,1222,455
206,1189,452
207,1291,457
208,1195,481
209,1195,452
210,1346,536
211,1333,602
212,1355,443
213,,
214,1359,445
215,,
216,,
217,1378,464
218,1376,463
219,1239,445
220,1237,447
221,1283,607
222,1227,455
223,1299,465
224,1301,461
225,1000,589
226,,
227,,
228,,
229,1351,493
230,833,885
231,,
232,,
233,,
234,,
235,892,829
236,871,833
237,875,829
238,898,860
239,901,862
240,907,853
241,1237,529
242,1237,497
243,,
244,,
245,,
246,,
247,950,853
248,,
249,947,883
250,1233,567
251,1237,517
252,781,851
253,1231,589
254,1228,617
255,1285,605
256,719,841
257,1213,647
258,769,913
259,1363,571
260,1313,719
261,1243,661
262,1237,773
263,772,843
264,1441,896
265,1351,439
266,1355,439
267,1295,445
268,1311,499
269,1282,476
270,1291,508
271,1333,537
272,1291,563
273,1135,695
274,1279,577
