Frame,X,Y
50,939,741
51,946,738
52,954,735
53,961,732
54,969,729
55,976,727
56,983,724
57,991,721
58,998,718
59,1005,715
60,1013,712
61,1020,710
62,1027,707
63,1034,704
64,1041,702
65,1048,699
66,1055,697
67,1062,694
68,1069,691
69,1076,688
70,1083,685
71,1090,682
72,1096,679
73,1103,676
74,1109,673
75,1116,670
76,1122,668
77,1128,665
78,1134,662
79,1139,660
80,1144,657
81,1149,654
82,1154,652
83,1158,649
84,1163,647
85,1167,645
86,1171,642
87,1175,640
88,1178,638
89,1182,636
90,1185,634
91,1189,632
92,1192,630
93,1196,628
94,1199,626
95,1202,623
96,1205,621
97,1208,619
98,1211,617
99,1214,615
100,1217,613
101,1219,611
102,1221,609
103,1224,607
104,1226,606
105,1229,604
106,1231,602
107,1233,601
108,1235,599
109,1237,597
110,1239,595
111,1242,592
112,1244,590
113,1246,588
114,1249,585
115,1251,583
116,1253,580
117,1255,578
118,1257,575
119,1259,573
120,1261,570
121,1263,567
122,1265,565
123,1267,562
124,1269,558
125,1271,555
126,1273,552
127,1275,548
128,1277,545
129,1279,541
130,1281,538
131,1284,535
132,1286,531
133,1288,528
134,1291,525
135,1293,522
136,1295,519
137,1297,516
138,1299,513
139,1301,510
140,1303,508
141,1305,505
142,1306,503
143,1308,500
144,1310,498
145,1311,496
146,1312,494
147,1314,492
148,1315,490
149,1316,488
150,1316,487
151,1317,485
152,1318,483
153,1318,482
154,1319,480
155,1319,479
156,1319,477
157,1319,476
158,1318,475
159,1318,474
160,1318,473
161,1317,471
162,1316,470
163,1316,469
164,1315,468
165,1314,467
166,1313,466
167,1312,465
168,1311,464
169,1310,464
170,1308,463
171,1307,462
172,1305,462
173,1304,461
174,1302,461
175,1300,460
176,1298,460
177,1296,460
178,1293,460
179,1291,459
180,1288,459
181,1285,459
182,1282,458
183,1279,458
184,1276,458
185,1273,458
186,1270,457
187,1266,457
188,1263,457
189,1259,456
190,1255,456
191,1251,456
192,1247,455
193,1243,455
194,1239,455
195,1236,454
196,1232,454
197,1228,454
198,1224,453
199,1220,453
200,1216,453
