Frame,X,Y,Radius
50,939,741,86
51,946,738,86
52,954,735,85
53,961,732,84
54,969,729,84
55,976,727,83
56,983,724,82
57,991,721,82
58,998,718,81
59,1005,715,80
60,1013,712,80
61,1020,710,79
62,1027,707,78
63,1034,704,78
64,1041,702,77
65,1048,699,77
66,1055,697,76
67,1062,694,76
68,1069,691,75
69,1076,688,74
70,1083,685,74
71,1090,682,73
72,1096,679,73
73,1103,676,72
74,1109,673,72
75,1116,670,71
76,1122,668,71
77,1128,665,70
78,1134,662,70
79,1139,660,69
80,1144,657,69
81,1149,654,68
82,1154,652,68
83,1158,649,67
84,1163,647,67
85,1167,645,66
86,1171,642,66
87,1175,640,65
88,1178,638,65
89,1182,636,64
90,1185,634,64
91,1189,632,63
92,1192,630,63
93,1196,628,63
94,1199,626,62
95,1202,623,62
96,1205,621,61
97,1208,619,61
98,1211,617,60
99,1214,615,60
100,1217,613,60
101,1219,611,59
102,1221,609,59
103,1224,607,58
104,1226,606,58
105,1229,604,58
106,1231,602,57
107,1233,601,57
108,1235,599,57
109,1237,597,56
110,1239,595,56
111,1242,592,55
112,1244,590,55
113,1246,588,55
114,1249,585,54
115,1251,583,54
116,1253,580,54
117,1255,578,53
118,1257,575,53
119,1259,573,53
120,1261,570,52
121,1263,567,52
122,1265,565,52
123,1267,562,51
124,1269,558,51
125,1271,555,51
126,1273,552,51
127,1275,548,50
128,1277,545,50
129,1279,541,50
130,1281,538,49
131,1284,535,49
132,1286,531,49
133,1288,528,48
134,1291,525,48
135,1293,522,48
136,1295,519,48
137,1297,516,47
138,1299,513,47
139,1301,510,47
140,1303,508,47
141,1305,505,46
142,1306,503,46
143,1308,500,46
144,1310,498,46
145,1311,496,45
146,1312,494,45
147,1314,492,45
148,1315,490,45
149,1316,488,44
150,1316,487,44
151,1317,485,44
152,1318,483,44
153,1318,482,43
154,1319,480,43
155,1319,479,43
156,1319,477,43
157,1319,476,43
158,1318,475,42
159,1318,474,42
160,1318,473,42
161,1317,471,42
162,1316,470,41
163,1316,469,41
164,1315,468,41
165,1314,467,41
166,1313,466,41
167,1312,465,40
168,1311,464,40
169,1310,464,40
170,1308,463,40
171,1307,462,40
172,1305,462,40
173,1304,461,39
174,1302,461,39
175,1300,460,39
176,1298,460,39
177,1296,460,39
178,1293,460,38
179,1291,459,38
180,1288,459,38
181,1285,459,38
182,1282,458,38
183,1279,458,38
184,1276,458,37
185,1273,458,37
186,1270,457,37
187,1266,457,37
188,1263,457,37
189,1259,456,37
190,1255,456,37
191,1251,456,36
192,1247,455,36
193,1243,455,36
194,1239,455,36
195,1236,454,36
196,1232,454,36
197,1228,454,35
198,1224,453,35
199,1220,453,35
200,1216,453,35
