Frame,X,Y
0,,
1,,
2,,
3,,
4,,
5,,
6,1207,406
7,1208,412
8,539,13
9,,
10,769,149
11,721,73
12,679,109
13,719,87
14,674,109
15,665,101
16,653,115
17,668,110
18,673,124
19,715,89
20,718,85
21,757,119
22,695,127
23,1223,409
24,649,931
25,641,921
26,772,143
27,753,202
28,763,206
29,,
30,821,203
31,916,179
32,877,127
33,693,217
34,749,131
35,793,127
36,790,121
37,799,116
38,746,85
39,757,91
40,773,115
41,824,97
42,778,85
43,835,757
44,841,763
45,871,772
46,895,747
47,909,743
48,904,748
49,909,755
50,911,753
51,935,759
52,950,747
53,955,753
54,970,733
55,976,730
56,977,733
57,981,725
58,993,729
59,1011,717
60,1013,713
61,1017,717
62,1035,703
63,1034,700
64,1040,704
65,1046,701
66,1059,693
67,1070,691
68,1077,685
69,1083,683
70,1083,685
71,1096,679
72,1099,675
73,1107,677
74,1121,670
75,1121,667
76,1125,667
77,1127,669
78,1143,664
79,1142,658
80,1139,655
81,1155,655
82,1160,653
83,1165,644
84,1165,649
85,1177,645
86,1174,645
87,1183,645
88,1190,640
89,1191,634
90,1192,627
91,1159,439
92,1202,439
93,1199,437
94,1201,632
95,139,67
96,1193,445
97,139,67
98,1249,442
99,1163,447
100,1321,43
101,1216,614
102,1216,613
103,1225,604
104,,
105,1232,601
106,1231,607
107,1243,601
108,1233,592
109,,
110,1240,599
111,1250,592
112,,
113,,
114,1255,587
115,,
116,1255,589
117,,
118,1259,578
119,113,71
120,1255,575
121,1088,209
122,1259,571
123,,
124,1207,244
125,1273,555
126,1271,553
127,1289,547
128,1280,548
129,107,57
130,1085,201
131,1285,537
132,1085,195
133,1295,533
134,1075,207
135,1085,183
136,1291,511
137,,
138,801,51
139,1303,503
140,,
141,,
142,1300,511
143,1315,500
144,,
145,,
146,1305,497
147,1319,489
148,,
149,490,533
150,1313,490
151,1309,471
152,,
153,1309,485
154,1321,484
155,,
156,,
157,1321,477
158,1323,473
159,,
160,1324,472
161,1321,473
162,1321,463
163,,
164,,
165,1327,475
166,,
167,847,487
168,1313,461
169,,
170,,
171,,
172,869,712
173,,
174,1310,465
175,,
176,,
177,,
178,1299,454
179,1291,460
180,1297,459
181,,
182,1285,457
183,,
184,1096,190
185,,
186,1018,235
187,1259,457
188,1271,457
189,1258,457
190,1258,455
191,1252,454
192,1249,455
193,1243,532
194,1237,530
195,1238,452
196,1232,455
197,1223,452
198,1221,453
199,1215,453
200,1215,453
201,1211,452
202,1163,429
203,,
204,1219,529
205,1222,455
206,1270,439
207,1291,457
208,1195,481
209,1177,274
210,1345,437
211,1195,243
212,1357,439
213,1223,292
214,1268,381
215,1264,280
216,,
217,1213,391
218,1286,296
219,1239,445
220,1237,447
221,1283,607
222,1321,262
223,1341,253
224,1403,397
225,1339,232
226,1347,217
227,1393,433
228,1353,175
229,1351,493
230,1372,163
231,1383,95
232,,
233,1393,469
234,1364,31
235,827,961
236,883,961
237,875,829
238,898,860
239,901,862
240,907,853
241,955,955
242,974,961
243,,
244,129,103
245,1285,79
246,1196,979
247,950,853
248,1381,137
249,811,315
250,110,127
251,555,643
252,565,745
253,1665,184
254,1627,203
255,989,97
256,976,79
257,967,103
258,967,89
259,976,70
260,973,67
261,971,103
262,955,97
263,1051,253
264,1675,367
265,1318,341
266,730,583
267,897,238
268,889,259
269,901,299
270,838,451
271,871,326
272,859,355
273,865,355
274,639,411
