frame,x,y,radius
37,897,839,62
38,903,831,62
39,909,824,61
40,915,816,61
41,921,809,60
42,928,801,60
43,934,794,60
44,940,786,59
45,946,779,59
46,952,771,58
47,958,763,58
48,964,756,58
49,970,748,57
50,976,741,57
51,982,734,57
52,988,727,56
53,994,720,56
54,1000,713,55
55,1006,706,55
56,1011,699,55
57,1016,693,54
58,1022,687,54
59,1027,681,54
60,1032,675,53
61,1036,670,53
62,1041,665,53
63,1046,660,52
64,1051,655,52
65,1055,651,52
66,1059,647,51
67,1064,643,51
68,1068,639,51
69,1072,636,50
70,1076,632,50
71,1080,629,50
72,1084,627,50
73,1088,624,49
74,1092,622,49
75,1096,620,49
76,1099,618,48
77,1103,616,48
78,1106,615,48
79,1110,613,48
80,1113,612,47
81,1117,610,47
82,1120,609,47
83,1123,608,46
84,1126,607,46
85,1129,605,46
86,1132,604,46
87,1135,603,45
88,1138,602,45
89,1141,601,45
90,1143,599,45
91,1146,598,44
92,1148,597,44
93,1151,595,44
94,1153,594,44
95,1156,593,43
96,1158,591,43
97,1160,589,43
98,1162,588,43
99,1165,586,43
100,1167,584,42
101,1168,582,42
102,1170,580,42
103,1172,578,42
104,1174,576,41
105,1175,573,41
106,1177,571,41
107,1179,569,41
108,1181,567,41
109,1182,565,40
110,1184,562,40
111,1186,560,40
112,1187,558,40
113,1188,556,40
114,1190,554,39
115,1191,551,39
116,1192,549,39
117,1193,547,39
118,1194,545,39
119,1194,543,38
120,1195,541,38
121,1195,538,38
122,1195,536,38
123,1196,534,38
124,1196,532,38
125,1197,530,37
126,1197,527,37
127,1198,525,37
128,1199,523,37
129,1200,521,37
130,1201,520,37
131,1202,518,36
132,1203,516,36
133,1204,514,36
134,1205,512,36
135,1206,511,36
136,1207,509,36
137,1208,508,35
138,1209,507,35
139,1210,506,35
140,1212,505,35
141,1214,504,35
142,1215,503,35
143,1217,503,35
144,1219,502,34
145,1220,501,34
146,1222,501,34
147,1224,500,34
148,1226,500,34
149,1227,499,34
150,1228,499,34
151,1230,499,33
152,1230,499,33
153,1231,498,33
154,1232,498,33
155,1232,498,33
156,1232,498,33
157,1232,498,33
158,1233,498,33
159,1233,498,32
160,1233,497,32
161,1233,497,32
162,1234,497,32
163,1234,496,32
164,1234,496,32
165,1233,495,32
166,1233,494,32
167,1233,494,31
168,1233,493,31
169,1233,492,31
170,1233,491,31
171,1233,491,31
172,1234,490,31
173,1234,489,31
174,1235,489,31
175,1235,488,31
176,1236,487,30
177,1236,487,30
178,1237,486,30
179,1238,485,30
180,1239,485,30
181,1239,484,30
182,1240,483,30
183,1241,483,30
184,1242,482,30
185,1242,481,30
186,1243,481,30
187,1244,480,29
