frame,x,y,radius
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,351.0,565.0,42.0
41,363.0,547.0,48.0
42,405.0,509.0,38.0
43,405.0,509.0,38.0
44,421.0,493.0,37.0
45,435.0,475.0,36.0
46,464.0,445.0,35.0
47,476.0,430.0,34.0
48,475.0,429.0,34.0
49,488.0,415.0,33.0
50,500.0,402.0,31.0
51,522.0,378.0,30.0
52,532.0,365.0,30.0
53,533.0,366.0,30.0
54,542.0,353.0,29.0
55,552.0,345.0,29.0
56,569.0,324.0,28.0
57,578.0,315.0,27.0
58,578.0,315.0,27.0
59,586.0,305.0,26.0
60,594.0,297.0,26.0
61,606.0,281.0,27.0
62,615.0,273.0,25.0
63,616.0,274.0,24.0
64,623.0,267.0,24.0
65,630.0,260.0,24.0
66,642.0,247.0,23.0
67,647.0,242.0,23.0
68,648.0,240.0,22.0
69,653.0,236.0,22.0
70,658.0,229.0,22.0
71,669.0,220.0,20.0
72,674.0,215.0,19.0
73,675.0,216.0,19.0
74,679.0,211.0,18.0
75,683.0,202.0,18.0
76,693.0,194.0,18.0
77,698.0,191.0,17.0
78,698.0,191.0,16.0
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,757.0,116.0,16.0
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
