Frame,hx1,hy1,hx2,hy2,lx1,ly1,lx2,ly2,rx1,ry1,rx2,ry2
0,-1015.88053204,1019.54290965,983.88053204,1050.45709035,-28,1680,1680,28,954,2054,2054,-954
1,-1015.88030089,1018.5279644,983.88030089,1049.4720356,-28,1676,1676,28,953,2050,2050,-953
2,-1015.87983658,1016.49798703,983.87983658,1047.50201297,-29,1672,1672,29,953,2046,2046,-953
3,-1015.87960341,1015.48295475,983.87960341,1046.51704525,-29,1667,1667,29,951,2041,2041,-951
4,-1015.87913502,1013.45280257,983.87913502,1044.54719743,-29,1663,1663,29,950,2036,2036,-950
5,-1015.8788998,1012.43768249,983.8788998,1043.56231751,-29,1658,1658,29,948,2031,2031,-948
6,-1015.8784273,1010.40735396,983.8784273,1041.59264604,-28,1653,1653,28,945,2026,2026,-945
7,-1015.87819002,1009.39214533,983.87819002,1040.60785467,-28,1647,1647,28,943,2021,2021,-943
8,-1014.89251912,1008.33881937,984.89251912,1037.66118063,-27,1642,1642,27,940,2015,2015,-940
9,-1014.89230871,1007.32447688,984.89230871,1036.67552312,-27,1636,1636,27,937,2010,2010,-937
10,-1014.89188605,1005.29570756,984.89188605,1034.70429244,-26,1631,1631,26,934,2004,2004,-934
11,-1014.89167378,1004.28128056,984.89167378,1033.71871944,-26,1625,1625,26,931,1998,1998,-931
12,-1014.89146089,1003.26682523,984.89146089,1032.73317477,-26,1619,1619,26,928,1992,1992,-928
13,-1014.89103322,1001.23782923,984.89103322,1030.76217077,-27,1613,1613,27,924,1986,1986,-924
14,-1014.89081844,1000.2232884,984.89081844,1029.7767116,-29,1606,1606,29,921,1980,1980,-921
15,-1014.89038696,998.19412063,984.89038696,1027.80587937,-30,1600,1600,30,918,1974,1974,-918
16,-1014.88995292,996.16483749,984.88995292,1025.83516251,-30,1595,1595,30,915,1969,1969,-915
17,-1014.88973493,995.15015245,984.88973493,1024.84984755,-31,1590,1590,31,913,1963,1963,-913
18,-1014.88929701,993.12069498,984.88929701,1022.87930502,-32,1584,1584,32,910,1958,1958,-910
19,-1014.88885648,991.09112043,984.88885648,1020.90887957,-33,1578,1578,33,907,1953,1953,-907
20,-1014.88841331,989.06142809,984.88841331,1018.93857191,-34,1573,1573,34,905,1947,1947,-905
21,-1014.88819073,988.04653753,984.88819073,1017.95346247,-34,1567,1567,34,902,1942,1942,-902
22,-1015.87228009,985.01802549,983.87228009,1016.98197451,-35,1561,1561,35,900,1937,1937,-900
23,-1015.87176828,982.98603775,983.87176828,1015.01396225,-35,1556,1556,35,899,1932,1932,-899
24,-1016.85495183,980.96840262,982.85495183,1015.03159738,-35,1551,1551,35,897,1927,1927,-897
25,-1016.85436885,978.93421258,982.85436885,1013.06578742,-35,1546,1546,35,895,1922,1922,-895
26,-1016.85378234,976.89988501,982.85378234,1011.10011499,-35,1541,1541,35,894,1917,1917,-894
27,-1017.8354172,973.85782509,981.8354172,1010.14217491,-34,1536,1536,34,892,1912,1912,-892
28,-1017.83475171,971.82118633,981.83475171,1008.17881367,-33,1531,1531,33,891,1908,1908,-891
29,-1018.81551357,969.79221966,980.81551357,1008.20778034,-32,1526,1526,32,889,1903,1903,-889
30,-1018.81476535,967.75331252,980.81476535,1006.24668748,-31,1522,1522,31,889,1899,1899,-889
31,-1019.79392597,964.69961572,979.79392597,1005.30038428,-30,1518,1518,30,887,1895,1895,-887
32,-1019.79350703,963.67899376,979.79350703,1004.32100624,-29,1513,1513,29,886,1890,1890,-886
33,-1019.79266533,961.63762392,979.79266533,1002.36237608,-27,1509,1509,27,883,1887,1887,-883
34,-1020.7704872,958.5763467,978.7704872,1001.4236533,-25,1505,1505,25,880,1883,1883,-880
35,-1020.76954786,956.53255572,978.76954786,999.46744428,-25,1501,1501,25,877,1879,1879,-877
36,-1021.74656819,954.48779478,977.74656819,999.51220522,-25,1496,1496,25,875,1875,1875,-875
37,-1021.7455278,952.44163937,977.7455278,997.55836063,-25,1492,1492,25,873,1871,1871,-873
38,-1022.72073402,949.36836908,976.72073402,996.63163092,-25,1488,1488,25,871,1867,1867,-871
39,-1022.71958289,947.31972152,976.71958289,994.68027848,-24,1485,1485,24,868,1864,1864,-868
40,-1022.71900465,946.29532257,976.71900465,993.70467743,-24,1481,1481,24,866,1861,1861,-866
41,-1023.69278557,943.21422846,975.69278557,992.78577154,-24,1477,1477,24,863,1858,1858,-863
42,-1023.69151274,941.16294378,975.69151274,990.83705622,-24,1473,1473,24,860,1855,1855,-860
43,-1023.69087335,940.1372218,975.69087335,989.8627782,-24,1469,1469,24,856,1852,1852,-856
44,-1024.66389346,938.0751065,974.66389346,989.9248935,-24,1466,1466,24,853,1849,1849,-853
45,-1024.66249519,936.02124493,974.66249519,987.97875507,-24,1462,1462,24,850,1847,1847,-850
46,-1024.66179278,934.99423016,974.66179278,987.00576984,-24,1458,1458,24,847,1843,1843,-847
47,-1024.66108817,933.96715916,974.66108817,986.03284084,-24,1455,1455,24,845,1840,1840,-845
48,-1024.66038136,932.94003177,974.66038136,985.05996823,-24,1451,1451,24,842,1837,1837,-842
49,-1024.65967233,931.9128478,974.65967233,984.0871522,-24,1447,1447,24,840,1833,1833,-840
50,-1023.68568593,931.92951258,975.68568593,982.07048742,-24,1444,1444,24,837,1830,1830,-837
51,-1023.68502834,930.90330473,975.68502834,981.09669527,-24,1440,1440,24,834,1827,1827,-834
52,-1023.68436868,929.87704204,975.68436868,980.12295796,-24,1437,1437,24,832,1824,1824,-832
53,-1023.68370695,928.85072435,975.68370695,979.14927565,-24,1433,1433,24,830,1822,1822,-830
54,-1023.68370695,928.85072435,975.68370695,979.14927565,-24,1430,1430,24,828,1819,1819,-828
55,-1022.70889464,928.87271293,976.70889464,977.12728707,-24,1427,1427,24,825,1816,1816,-825
56,-1022.70889464,928.87271293,976.70889464,977.12728707,-24,1424,1424,24,824,1813,1813,-824
57,-1021.73364796,929.92115398,977.73364796,976.07884602,-24,1421,1421,24,822,1810,1810,-822
58,-1021.73364796,929.92115398,977.73364796,976.07884602,-23,1418,1418,23,821,1806,1806,-821
59,-1021.73364796,929.92115398,977.73364796,976.07884602,-24,1416,1416,24,820,1803,1803,-820
60,-1020.7578112,931.99275258,978.7578112,976.00724742,-24,1413,1413,24,819,1799,1799,-819
61,-1020.7578112,931.99275258,978.7578112,976.00724742,-23,1411,1411,23,819,1796,1796,-819
62,-1019.78077987,934.06218262,979.78077987,975.93781738,-23,1409,1409,23,818,1793,1793,-818
63,-1019.7812381,935.08407452,979.7812381,976.91592548,-24,1407,1407,24,818,1790,1790,-818
64,-1018.80297335,937.1502022,980.80297335,976.8497978,-24,1405,1405,24,818,1787,1787,-818
65,-1018.80379406,939.19158281,980.80379406,978.80841719,-24,1404,1404,24,817,1784,1784,-817
66,-1017.82426508,941.25329503,981.82426508,978.74670497,-24,1403,1403,24,817,1781,1781,-817
67,-1017.82499484,943.29225581,981.82499484,980.70774419,-24,1402,1402,24,816,1779,1779,-816
68,-1016.84421925,945.34958284,982.84421925,980.65041716,-24,1401,1401,24,817,1776,1776,-817
69,-1016.84486416,947.38615265,982.84486416,982.61384735,-24,1401,1401,24,818,1773,1773,-818
70,-1016.84550507,949.42257127,982.84550507,984.57742873,-24,1400,1400,24,818,1770,1770,-818
71,-1015.86398779,953.50739814,983.86398779,986.49260186,-24,1400,1400,24,818,1768,1768,-818
72,-1015.86454682,955.54132433,983.86454682,988.45867567,-24,1400,1400,24,818,1766,1766,-818
73,-1015.86537893,958.59195276,983.86537893,991.40804724,-24,1401,1401,24,818,1765,1765,-818
74,-1015.86592942,960.62553237,983.86592942,993.37446763,-24,1402,1402,24,817,1764,1764,-817
75,-1015.86674884,963.67564492,983.86674884,996.32435508,-24,1402,1402,24,816,1763,1763,-816
76,-1015.86756077,966.72545171,983.86756077,999.27454829,-24,1404,1404,24,816,1762,1762,-816
77,-1014.88430268,970.78877836,984.88430268,1001.21122164,-23,1406,1406,23,816,1762,1762,-816
78,-1014.88500339,973.83490895,984.88500339,1004.16509105,-23,1407,1407,23,817,1761,1761,-817
79,-1015.86995253,975.87306528,983.86995253,1008.12693472,-23,1409,1409,23,816,1760,1760,-816
80,-1015.8707354,978.92167662,983.8707354,1011.07832338,-23,1411,1411,23,816,1760,1760,-816
81,-1015.87176828,982.98603775,983.87176828,1015.01396225,-23,1413,1413,23,816,1760,1760,-816
82,-1015.87253484,986.0339715,983.87253484,1017.9660285,-22,1416,1416,22,816,1759,1759,-816
83,-1015.87329455,989.08161919,983.87329455,1020.91838081,-22,1418,1418,22,816,1758,1758,-816
84,-1015.87404748,992.12898337,983.87404748,1023.87101663,-22,1420,1420,22,817,1757,1757,-817
85,-1015.87454572,994.16040324,983.87454572,1025.83959676,-22,1422,1422,22,817,1757,1757,-817
86,-1015.87528754,997.20730049,983.87528754,1028.79269951,-22,1424,1424,22,816,1757,1757,-816
87,-1015.87602281,1000.2539209,983.87602281,1031.7460791,-22,1426,1426,22,815,1758,1758,-815
88,-1015.8767516,1003.3002669,983.8767516,1034.6997331,-22,1427,1427,22,814,1757,1757,-814
89,-1015.87747397,1006.34634092,983.87747397,1037.65365908,-22,1429,1429,22,814,1757,1757,-814
90,-1015.87795203,1008.376907,983.87795203,1039.623093,-22,1430,1430,22,813,1756,1756,-813
91,-1015.8786639,1011.42253299,983.8786639,1042.57746701,-22,1431,1431,22,813,1755,1755,-813
92,-1015.87913502,1013.45280257,983.87913502,1044.54719743,-22,1432,1432,22,812,1755,1755,-812
93,-1015.87983658,1016.49798703,983.87983658,1047.50201297,-22,1432,1432,22,810,1755,1755,-810
94,-1015.88030089,1018.5279644,983.88030089,1049.4720356,-22,1432,1432,22,808,1755,1755,-808
95,-1015.88076252,1020.55782606,983.88076252,1051.44217394,-22,1432,1432,22,806,1754,1754,-806
96,-1015.88122149,1022.58757269,983.88122149,1053.41242731,-22,1432,1432,22,804,1754,1754,-804
97,-1015.88144998,1023.60240308,983.88144998,1054.39759692,-22,1432,1432,22,802,1754,1754,-802
98,-1015.88190498,1025.63197841,983.88190498,1056.36802159,-22,1432,1432,22,801,1754,1754,-801
99,-1015.88235737,1027.66144035,983.88235737,1058.33855965,-22,1431,1431,22,799,1753,1753,-799
100,-1015.8825826,1028.676129,983.8825826,1059.323871,-22,1431,1431,22,797,1753,1753,-797
101,-1014.8969963,1030.64741154,984.8969963,1059.35258846,-22,1431,1431,22,796,1752,1752,-796
102,-1014.89719312,1031.66113012,984.89719312,1060.33886988,-21,1431,1431,21,794,1752,1752,-794
103,-1014.89758508,1033.68848876,984.89758508,1062.31151124,-21,1430,1430,21,792,1751,1751,-792
104,-1014.89778022,1034.70212898,984.89778022,1063.29787102,-22,1430,1430,22,791,1751,1751,-791
105,-1014.89778022,1034.70212898,984.89778022,1063.29787102,-23,1429,1429,23,789,1750,1750,-789
106,-1014.8979748,1035.71574322,984.8979748,1064.28425678,-24,1428,1428,24,787,1750,1750,-787
107,-1014.89816883,1036.72933156,984.89816883,1065.27066844,-25,1427,1427,25,786,1749,1749,-786
108,-1014.8983623,1037.74289407,984.8983623,1066.25710593,-26,1426,1426,26,784,1749,1749,-784
109,-1015.88436131,1036.79263329,983.88436131,1067.20736671,-28,1425,1425,28,781,1749,1749,-781
110,-1015.88458081,1037.8070719,983.88458081,1068.1929281,-29,1424,1424,29,779,1748,1748,-779
111,-1015.88458081,1037.8070719,983.88458081,1068.1929281,-32,1423,1423,32,778,1747,1747,-778
112,-1015.88479968,1038.82148312,983.88479968,1069.17851688,-33,1422,1422,33,778,1745,1745,-778
113,-1015.88501793,1039.83586703,983.88501793,1070.16413297,-36,1421,1421,36,778,1743,1743,-778
114,-1015.88501793,1039.83586703,983.88501793,1070.16413297,-38,1420,1420,38,776,1742,1742,-776
115,-1015.88523555,1040.8502237,983.88523555,1071.1497763,-40,1419,1419,40,775,1741,1741,-775
