"[[-1015, 1019, 983, 1050]]",[[ 877  802 1019  664]],[[1448  700 1519  504]]
"[[-1015, 1018, 983, 1049]]",[[ 841  836 1061  624]],[[1448  700 1504  546]]
"[[-1015, 1016, 983, 1047]]",[[ 832  844 1057  627]],[[1447  701 1519  504]]
"[[-1015, 1015, 983, 1046]]",[[ 870  803 1005  672]],[[1443  698 1515  502]]
"[[-1015, 1013, 983, 1044]]",[[859 808 989 682]],[[1451  664 1497  537]]
"[[-1015, 1012, 983, 1043]]",[[ 846  815 1079  590]],[[1435  695 1498  522]]
"[[-1015, 1010, 983, 1041]]",[[ 831  821 1038  621]],[[1428  694 1500  497]]
"[[-1015, 1009, 983, 1040]]",[[ 807  839 1027  627]],[[1437  659 1487  521]]
"[[-1014, 1008, 984, 1037]]",[[837 806 969 678]],[[1433  658 1493  494]]
"[[-1014, 1007, 984, 1036]]",[[ 802  834 1026  618]],[[1417  690 1489  492]]
"[[-1014, 1005, 984, 1034]]",[[825 805 979 656]],[[1440  611 1484  488]]
"[[-1014, 1004, 984, 1033]]",[[817 808 979 651]],[[1408  688 1472  512]]
"[[-1014, 1003, 984, 1032]]",[[ 814  806 1015  612]],[[1405  685 1477  488]]
"[[-1014, 1001, 984, 1030]]",[[786 828 997 624]],[[1402  683 1474  485]]
"[[-1014, 1000, 984, 1029]]",[[ 797  810 1006  608]],[[1397  679 1459  509]]
"[[-1014, 998, 984, 1027]]",[[ 783  817 1001  607]],[[1392  679 1464  481]]
"[[-1014, 996, 984, 1025]]",[[804 792 999 604]],[[1388  678 1442  531]]
"[[-1014, 995, 984, 1024]]",[[804 787 954 642]],[[1384  677 1448  500]]
"[[-1014, 993, 984, 1022]]",[[1392  640 1432  530]],[[1006  585 1134  466]]
"[[-1014, 991, 984, 1020]]",[[1375  674 1440  495]],[[820 760 934 650]]
"[[-1014, 989, 984, 1018]]",[[1317  807 1356  703]],[[814 762 946 634]]
"[[-1014, 988, 984, 1017]]",[[1312  812 1352  706]],[[802 770 924 652]]
"[[-1015, 985, 983, 1016]]",[[1368  665 1428  499]],[[ 996  575 1119  461]]
"[[-1015, 982, 983, 1015]]",[[1196 1006 1202  897]],[[1364  665 1428  488]]
"[[-1016, 980, 982, 1015]]",[[1361  663 1425  487]],[[ 988  575 1112  459]]
"[[-1016, 978, 982, 1013]]",[[1358  661 1421  487]],[[ 949  608 1057  504]]
"[[-1016, 976, 982, 1011]]",[[1354  658 1415  489]],[[ 942  609 1076  479]]
