0,1,2
[-995.9265462   342.12032177 1003.9265462   317.87967823],[0 0 0 0],[0 0 0 0]
[-995.92609905  341.15715622 1003.92609905  316.84284378],[0 0 0 0],[0 0 0 0]
[-995.92609905  341.15715622 1003.92609905  316.84284378],[0 0 0 0],[0 0 0 0]
[-996.95817484  337.14595892 1002.95817484  318.85404108],[0 0 0 0],[0 0 0 0]
[-996.95791866  336.17392586 1002.95791866  317.82607414],[0 0 0 0],[0 0 0 0]
[-997.98129652  333.11609356 1001.98129652  320.88390644],[0 0 0 0],[0 0 0 0]
[-997.98118161  332.13485387 1001.98118161  319.86514613],[0 0 0 0],[0 0 0 0]
[-998.99526631  328.07690851 1000.99526631  321.92309149],[0 0 0 0],[0 0 0 0]
[-998.99523704  327.08640505 1000.99523704  320.91359495],[0 0 0 0],[0 0 0 0]
[-1000.   324.  1000.   324.],[0 0 0 0],[0 0 0 0]
[-1000.   323.  1000.   323.],[0 0 0 0],[0 0 0 0]
[-1000.99517769   318.89442491   998.99517769   325.10557509],[0 0 0 0],[0 0 0 0]
[-1000.99517769   318.89442491   998.99517769   325.10557509],[0 0 0 0],[0 0 0 0]
[-1001.98059082   314.76959133   997.98059082   327.23040867],[0 0 0 0],[0 0 0 0]
[-1001.98059082   314.76959133   997.98059082   327.23040867],[0 0 0 0],[0 0 0 0]
[-1002.95605758   310.62541196   996.95605758   329.37458804],[0 0 0 0],[0 0 0 0]
[-1002.95605758   310.62541196   996.95605758   329.37458804],[0 0 0 0],[0 0 0 0]
[-1002.95578167   309.59602713   996.95578167   328.40397287],[0 0 0 0],[0 0 0 0]
[-1003.92139369   306.46180071   995.92139369   331.53819929],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92089859   305.42237863   995.92089859   330.57762137],[0 0 0 0],[0 0 0 0]
[-1003.92139369   306.46180071   995.92139369   331.53819929],[0 0 0 0],[0 0 0 0]
[-1003.92139369   306.46180071   995.92139369   331.53819929],[0 0 0 0],[0 0 0 0]
[-1002.95578167   309.59602713   996.95578167   328.40397287],[0 0 0 0],[0 0 0 0]
