Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
0,480,1041,1267,1076,1307,208,1475,208
1,480,1041,1267,1076,1307,208,1475,208
2,480,1041,1267,1076,1307,208,1475,208
3,480,1041,1267,1076,1307,208,1475,208
4,480,1041,1267,1076,1307,208,1475,208
5,480,1041,1267,1076,1307,208,1475,208
6,480,1041,1267,1076,1307,208,1475,208
7,480,1041,1267,1076,1307,208,1475,208
8,480,1041,1267,1076,1307,208,1475,208
9,480,1041,1267,1076,1307,208,1475,208
10,480,1041,1267,1076,1307,208,1475,208
11,480,1041,1267,1076,1307,208,1475,208
12,480,1041,1267,1076,1307,208,1475,208
13,480,1041,1267,1076,1307,208,1475,208
14,480,1041,1267,1076,1307,208,1475,208
15,480,1041,1267,1076,1307,208,1475,208
16,480,1041,1267,1076,1307,208,1475,208
17,480,1041,1267,1076,1307,208,1475,208
18,480,1041,1267,1076,1307,208,1475,208
19,480,1041,1267,1076,1307,208,1475,208
20,480,1041,1267,1076,1307,208,1475,208
21,480,1041,1267,1076,1307,208,1475,208
22,480,1041,1267,1076,1307,208,1475,208
23,480,1041,1267,1076,1307,208,1475,208
24,480,1041,1267,1076,1307,208,1475,208
25,480,1041,1267,1076,1307,208,1475,208
26,480,1041,1267,1076,1307,208,1475,208
27,480,1041,1267,1076,1307,208,1475,208
28,480,1041,1267,1076,1307,208,1475,208
29,480,1041,1267,1076,1307,208,1475,208
30,480,1041,1267,1076,1307,208,1475,208
31,480,1041,1267,1076,1307,208,1475,208
32,480,1041,1267,1076,1307,208,1475,208
33,480,1041,1267,1076,1307,208,1475,208
34,480,1041,1267,1076,1307,208,1475,208
35,480,1041,1267,1076,1307,208,1475,208
36,480,1041,1267,1076,1307,208,1475,208
37,480,1041,1267,1076,1307,208,1475,208
38,480,1041,1267,1076,1307,208,1475,208
39,480,1041,1267,1076,1307,208,1475,208
40,480,1041,1267,1076,1307,208,1475,208
41,480,1041,1267,1076,1307,208,1475,208
42,480,1041,1267,1076,1307,208,1475,208
43,480,1041,1267,1076,1307,208,1475,208
44,480,1041,1267,1076,1307,208,1475,208
45,480,1041,1267,1076,1307,208,1475,208
46,480,1041,1267,1076,1307,208,1475,208
47,480,1041,1267,1076,1307,208,1475,208
48,480,1041,1267,1076,1307,208,1475,208
49,480,1041,1267,1076,1307,208,1475,208
50,480,1041,1267,1076,1307,208,1475,208
51,480,1041,1267,1076,1307,208,1475,208
52,480,1041,1267,1076,1307,208,1475,208
53,480,1041,1267,1076,1307,208,1475,208
54,480,1041,1267,1076,1307,208,1475,208
55,480,1041,1267,1076,1307,208,1475,208
56,480,1041,1267,1076,1307,208,1475,208
57,480,1041,1267,1076,1307,208,1475,208
58,480,1041,1267,1076,1307,208,1475,208
59,480,1041,1267,1076,1307,208,1475,208
60,480,1041,1267,1076,1307,208,1475,208
61,480,1041,1267,1076,1307,208,1475,208
62,480,1041,1267,1076,1307,208,1475,208
63,480,1041,1267,1076,1307,208,1475,208
64,480,1041,1267,1076,1307,208,1475,208
65,480,1041,1267,1076,1307,208,1475,208
66,480,1041,1267,1076,1307,208,1475,208
67,480,1041,1267,1076,1307,208,1475,208
68,480,1041,1267,1076,1307,208,1475,208
69,480,1041,1267,1076,1307,208,1475,208
70,480,1041,1267,1076,1307,208,1475,208
71,480,1041,1267,1076,1307,208,1475,208
72,480,1041,1267,1076,1307,208,1474,208
73,480,1041,1267,1076,1307,208,1475,208
74,480,1041,1267,1076,1307,208,1474,208
75,480,1041,1267,1076,1307,208,1474,208
76,480,1041,1267,1076,1307,208,1474,208
77,480,1041,1267,1076,1307,208,1474,208
78,480,1041,1267,1076,1307,208,1475,208
79,480,1041,1267,1076,1307,208,1475,208
80,480,1041,1267,1076,1307,208,1475,208
81,480,1041,1267,1076,1307,208,1475,208
82,480,1041,1267,1076,1307,208,1475,208
83,480,1041,1267,1076,1307,208,1475,208
84,480,1041,1267,1076,1307,208,1475,208
85,480,1041,1267,1076,1307,208,1475,208
86,480,1041,1267,1076,1307,208,1474,208
87,480,1041,1267,1076,1307,208,1474,208
88,480,1041,1267,1076,1307,208,1475,208
89,480,1041,1267,1076,1307,208,1475,208
90,480,1041,1267,1076,1307,208,1474,208
91,480,1041,1267,1076,1307,208,1475,208
92,480,1041,1267,1076,1307,208,1475,208
93,480,1041,1267,1076,1307,208,1475,208
94,480,1041,1267,1076,1307,208,1474,208
95,480,1041,1267,1076,1307,208,1474,208
96,480,1041,1267,1076,1307,208,1474,208
97,480,1041,1267,1076,1307,208,1475,208
98,480,1041,1267,1076,1307,208,1475,208
99,480,1041,1267,1076,1307,208,1475,208
100,480,1041,1267,1076,1307,208,1475,208
101,480,1041,1267,1076,1307,208,1475,208
102,480,1041,1267,1076,1307,208,1475,208
103,480,1041,1267,1076,1307,208,1474,208
104,480,1041,1267,1076,1307,208,1474,208
105,480,1041,1267,1076,1307,208,1475,208
106,480,1041,1267,1076,1307,208,1475,208
107,480,1041,1267,1076,1307,208,1475,208
108,480,1041,1267,1076,1307,208,1474,208
109,480,1041,1267,1076,1307,208,1474,208
110,480,1041,1267,1076,1307,208,1475,208
111,480,1041,1267,1076,1307,208,1475,208
112,480,1041,1267,1076,1307,208,1475,208
113,480,1041,1267,1076,1307,208,1475,208
