Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
0,550,897,1473,909,964,452,1332,452
1,549,898,1473,910,963,453,1333,453
2,548,899,1474,910,962,454,1334,454
3,547,899,1475,911,961,454,1335,454
4,547,900,1477,911,959,456,1338,456
5,547,899,1478,910,960,455,1340,455
6,548,899,1481,909,961,456,1342,456
7,550,899,1483,909,962,456,1346,456
8,552,899,1486,909,965,456,1349,456
9,555,898,1489,909,968,455,1352,455
10,557,899,1492,910,970,456,1355,456
11,560,898,1495,910,974,456,1358,456
12,563,898,1499,909,977,456,1361,456
13,566,897,1502,909,980,455,1363,455
14,568,897,1505,908,982,454,1366,454
15,572,896,1507,907,983,454,1368,454
16,574,896,1510,907,985,454,1370,454
17,577,896,1512,907,987,454,1373,454
18,579,896,1514,907,986,454,1375,454
19,581,896,1516,908,985,454,1377,454
20,582,897,1518,909,985,454,1379,454
21,583,897,1520,909,988,456,1382,456
22,585,897,1522,910,990,456,1383,456
23,587,897,1524,910,995,456,1385,456
24,589,898,1525,911,999,457,1386,457
25,591,898,1526,911,1003,456,1388,456
26,593,898,1528,912,1004,456,1390,456
27,595,898,1529,912,1005,457,1392,457
28,597,898,1530,912,1007,457,1392,457
29,599,898,1531,913,1008,457,1393,457
30,601,898,1532,913,1010,459,1394,459
31,603,899,1533,914,1012,460,1395,460
32,604,900,1534,915,1013,461,1395,461
33,604,902,1535,916,1013,462,1396,462
34,603,905,1535,918,1014,465,1398,465
35,603,907,1536,920,1014,467,1398,467
36,604,910,1537,923,1012,471,1400,471
37,604,912,1538,925,1015,471,1400,471
38,605,914,1538,928,1015,474,1401,474
39,605,916,1539,930,1014,476,1400,476
40,605,918,1540,933,1016,476,1399,476
41,605,920,1539,935,1018,479,1400,479
42,606,921,1539,936,1018,479,1399,479
43,606,922,1538,937,1019,480,1398,480
44,606,923,1537,938,1017,483,1397,483
45,605,925,1536,940,1016,485,1397,485
46,603,926,1534,942,1013,487,1395,487
47,601,928,1531,944,1009,489,1392,489
48,598,930,1528,947,1005,490,1387,490
49,594,932,1524,949,1002,492,1382,492
50,590,933,1521,951,999,493,1378,493
51,588,934,1517,952,996,496,1375,496
52,586,935,1514,953,992,496,1370,496
53,584,936,1511,953,990,499,1369,499
54,583,936,1508,954,987,498,1368,498
55,581,937,1506,955,985,501,1368,501
56,579,938,1504,955,984,501,1365,501
57,577,938,1502,956,982,502,1365,502
58,575,939,1500,957,980,503,1364,503
59,573,939,1500,957,978,503,1362,503
60,570,939,1499,956,976,502,1361,502
61,569,938,1498,954,973,502,1360,502
62,567,937,1498,952,971,501,1359,501
63,566,935,1498,949,969,499,1359,499
64,566,931,1497,945,969,495,1359,495
65,566,928,1496,942,968,491,1357,491
66,564,925,1496,940,970,486,1357,486
67,563,922,1496,936,969,481,1355,481
68,562,919,1496,931,971,477,1354,477
69,560,918,1496,929,970,476,1353,476
70,560,916,1496,926,971,474,1354,474
71,561,914,1495,923,974,470,1353,470
72,562,913,1496,922,976,467,1354,467
73,563,912,1496,921,978,465,1354,465
74,565,911,1497,920,979,464,1354,464
75,565,910,1498,921,982,462,1356,462
76,568,909,1499,921,983,460,1356,460
77,570,908,1500,921,983,459,1357,459
78,571,907,1501,922,985,458,1357,458
79,573,907,1502,923,988,457,1358,457
80,573,908,1503,924,986,460,1361,460
81,572,909,1504,925,984,464,1362,464
82,571,910,1504,926,985,465,1363,465
83,571,911,1505,927,984,466,1363,466
84,571,912,1506,928,985,467,1363,467
85,571,913,1507,929,985,468,1364,468
86,571,914,1507,930,985,469,1365,469
87,572,915,1508,931,988,468,1364,468
88,574,916,1508,932,987,468,1364,468
89,574,917,1508,933,987,469,1365,469
90,576,917,1508,934,987,470,1365,470
91,577,917,1508,934,989,470,1364,470
92,578,918,1507,935,989,471,1364,471
93,578,919,1507,936,990,472,1365,472
94,580,921,1507,937,990,475,1364,475
95,581,923,1508,938,988,477,1366,477
96,582,925,1508,940,986,481,1366,481
97,584,926,1508,941,986,482,1366,482
98,585,928,1509,943,986,484,1366,484
99,585,929,1509,944,984,487,1369,487
100,585,930,1510,946,985,488,1368,488
101,586,932,1510,948,985,490,1369,490
102,585,933,1511,949,985,492,1371,492
103,584,934,1511,950,986,493,1371,493
104,584,934,1511,951,987,493,1370,493
105,584,935,1512,951,988,494,1371,494
106,584,935,1512,952,988,494,1371,494
107,584,935,1511,951,990,494,1371,494
108,585,934,1511,951,993,493,1370,493
109,586,934,1511,950,994,493,1370,493
110,587,933,1511,950,996,492,1370,492
111,588,933,1511,950,999,492,1370,492
112,589,933,1511,950,1001,492,1371,492
113,590,933,1511,950,1003,492,1370,492
114,592,933,1511,950,1004,492,1369,492
115,593,933,1511,950,1007,492,1370,492
116,594,933,1511,950,1009,492,1369,492
117,596,933,1511,950,1012,492,1368,492
