Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
0,484,1036,1267,1071,1311,204,1476,208
1,484,1036,1267,1071,1311,204,1476,208
2,484,1036,1267,1071,1311,204,1476,208
3,484,1036,1267,1071,1311,204,1476,208
4,484,1036,1267,1071,1311,204,1476,208
5,484,1036,1267,1071,1311,204,1476,208
6,484,1036,1267,1071,1311,204,1476,208
7,484,1036,1267,1071,1311,204,1476,208
8,484,1036,1267,1071,1311,204,1476,208
9,484,1036,1267,1071,1311,204,1476,208
10,484,1036,1267,1071,1311,204,1476,208
11,484,1036,1267,1071,1311,204,1476,208
12,484,1036,1267,1071,1311,204,1476,208
13,484,1036,1267,1071,1311,204,1476,208
14,484,1036,1267,1071,1311,204,1476,208
15,484,1036,1267,1071,1311,204,1476,208
16,484,1036,1267,1071,1311,204,1476,208
17,484,1036,1267,1071,1311,204,1476,208
18,484,1036,1267,1071,1311,204,1476,208
19,484,1036,1267,1071,1311,204,1476,208
20,484,1036,1267,1071,1311,204,1476,208
21,484,1036,1267,1071,1311,204,1476,208
22,484,1036,1267,1071,1311,204,1476,208
23,484,1036,1267,1071,1311,204,1476,208
24,484,1036,1267,1071,1311,204,1476,208
25,484,1036,1267,1071,1311,204,1476,208
26,484,1036,1267,1071,1311,204,1476,208
27,484,1036,1267,1071,1311,204,1476,208
28,484,1036,1267,1071,1311,204,1476,208
29,484,1036,1267,1071,1311,204,1476,208
30,484,1036,1267,1071,1311,204,1476,208
31,484,1036,1267,1071,1311,204,1476,208
32,484,1036,1267,1071,1311,204,1476,208
33,484,1036,1267,1071,1311,204,1476,208
34,484,1036,1267,1071,1311,204,1476,208
35,484,1036,1267,1071,1311,204,1476,208
36,484,1036,1267,1071,1311,204,1476,208
37,484,1036,1267,1071,1311,204,1476,208
38,484,1036,1267,1071,1311,204,1476,208
39,484,1036,1267,1071,1311,204,1476,208
40,484,1036,1267,1071,1311,204,1476,208
41,484,1036,1267,1071,1311,204,1476,208
42,484,1036,1267,1071,1311,204,1476,208
43,484,1036,1267,1071,1311,204,1476,208
44,484,1036,1267,1071,1311,204,1476,208
45,484,1036,1267,1071,1311,204,1476,208
46,484,1036,1267,1071,1311,204,1476,208
47,484,1036,1267,1071,1311,204,1476,208
48,484,1036,1267,1071,1311,204,1476,208
49,484,1036,1267,1071,1311,204,1476,208
50,484,1036,1267,1071,1311,204,1476,208
51,484,1036,1267,1071,1311,204,1476,208
52,484,1036,1267,1071,1311,204,1476,208
53,484,1036,1267,1071,1311,204,1476,208
54,484,1036,1267,1071,1311,204,1476,208
55,484,1036,1267,1071,1311,204,1476,208
56,484,1036,1267,1071,1311,204,1476,208
57,484,1036,1267,1071,1311,204,1476,208
58,483,1037,1267,1072,1311,204,1476,208
59,483,1037,1267,1072,1311,204,1476,208
60,483,1037,1267,1072,1311,204,1476,208
61,483,1037,1267,1072,1311,204,1476,208
62,483,1037,1267,1072,1311,204,1476,208
63,483,1037,1267,1072,1311,204,1476,208
64,481,1038,1267,1074,1311,204,1476,208
65,481,1038,1267,1074,1311,204,1476,208
66,481,1038,1267,1074,1311,204,1476,208
67,481,1038,1267,1074,1311,204,1476,208
68,481,1038,1267,1074,1311,204,1476,208
69,481,1038,1267,1074,1311,204,1476,208
70,481,1038,1267,1074,1311,204,1476,208
71,482,1037,1267,1073,1311,204,1476,208
72,481,1038,1267,1075,1311,204,1476,208
73,481,1038,1267,1075,1310,204,1476,208
74,481,1038,1267,1074,1311,204,1477,208
75,481,1038,1267,1074,1310,204,1476,208
76,480,1039,1266,1075,1311,204,1476,208
77,480,1039,1266,1075,1310,204,1476,208
78,480,1039,1266,1075,1310,204,1476,208
79,480,1039,1266,1075,1310,204,1476,208
80,480,1039,1266,1075,1310,204,1476,208
81,480,1039,1266,1075,1310,204,1476,208
