Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
0,481,1035,1268,1071,1313,203,1466,207
1,481,1035,1269,1071,1313,203,1466,207
2,481,1035,1269,1071,1313,203,1467,207
3,480,1035,1269,1071,1312,203,1468,207
4,480,1035,1269,1071,1312,203,1468,207
5,480,1035,1269,1071,1311,204,1469,208
6,480,1035,1269,1071,1311,204,1470,208
7,480,1035,1269,1071,1312,203,1472,207
8,480,1035,1268,1071,1311,204,1472,208
9,480,1035,1268,1071,1311,204,1473,208
10,480,1035,1268,1071,1310,205,1474,209
11,480,1035,1268,1071,1310,205,1475,209
12,481,1035,1268,1071,1311,205,1476,209
13,481,1035,1267,1071,1311,205,1477,209
14,479,1035,1267,1071,1308,208,1477,212
15,480,1035,1267,1071,1307,208,1477,212
16,480,1035,1268,1071,1306,209,1478,213
17,480,1035,1267,1071,1307,208,1477,212
18,480,1035,1267,1071,1307,208,1477,212
19,480,1035,1267,1071,1310,205,1477,209
20,481,1035,1268,1071,1307,208,1477,212
21,483,1036,1267,1071,1307,208,1476,212
22,484,1036,1268,1071,1311,205,1476,209
23,484,1036,1268,1071,1310,205,1475,209
24,485,1036,1267,1071,1310,205,1474,209
25,487,1036,1268,1071,1310,205,1474,209
26,488,1036,1268,1071,1309,205,1473,209
27,490,1036,1268,1071,1311,204,1472,208
28,491,1036,1268,1071,1312,203,1472,207
29,491,1036,1268,1071,1310,204,1471,208
30,492,1036,1268,1071,1309,204,1471,208
31,493,1036,1268,1071,1310,204,1471,208
32,493,1036,1268,1071,1310,204,1471,208
33,492,1036,1269,1071,1308,205,1472,209
34,491,1036,1268,1071,1310,204,1471,208
35,491,1036,1268,1071,1312,203,1471,207
36,488,1036,1268,1071,1310,204,1471,208
37,486,1036,1268,1071,1312,203,1472,207
38,485,1036,1268,1071,1311,204,1472,208
39,486,1036,1268,1071,1310,204,1472,208
40,485,1036,1269,1071,1311,204,1472,208
41,484,1036,1269,1071,1311,204,1472,208
42,484,1036,1269,1071,1311,204,1472,208
43,484,1036,1269,1071,1311,204,1472,208
44,484,1036,1268,1071,1310,204,1471,208
45,484,1036,1269,1071,1311,204,1470,208
46,483,1036,1269,1071,1312,203,1471,207
47,482,1036,1269,1071,1311,204,1470,208
48,483,1036,1269,1071,1311,204,1470,208
49,484,1036,1268,1071,1311,204,1471,208
50,484,1036,1268,1071,1311,204,1471,208
51,484,1036,1268,1071,1312,203,1471,207
52,484,1036,1269,1071,1312,203,1472,207
53,484,1036,1269,1071,1312,204,1472,208
54,484,1036,1268,1071,1312,204,1472,208
55,483,1036,1268,1071,1312,204,1473,208
56,483,1036,1269,1071,1313,204,1474,208
57,481,1036,1269,1071,1313,204,1474,208
58,481,1036,1268,1072,1314,203,1474,207
59,480,1036,1268,1072,1313,204,1474,208
60,479,1036,1268,1072,1314,204,1475,208
61,480,1036,1268,1072,1314,204,1476,208
62,482,1036,1267,1072,1314,204,1475,208
63,482,1036,1267,1072,1313,204,1475,208
64,482,1038,1267,1074,1312,205,1475,209
65,483,1038,1267,1074,1312,205,1476,209
66,485,1038,1267,1074,1312,205,1475,209
67,485,1038,1267,1074,1311,205,1474,209
68,486,1038,1268,1074,1313,204,1474,208
69,486,1038,1269,1075,1314,203,1473,207
70,487,1038,1269,1075,1312,204,1473,208
71,488,1037,1269,1074,1313,203,1473,207
72,488,1038,1270,1075,1314,203,1473,207
73,488,1038,1269,1075,1317,200,1473,204
74,487,1038,1270,1075,1337,182,1478,185
75,486,1038,1270,1075,1325,194,1475,197
76,486,1039,1270,1076,1330,189,1476,192
77,486,1039,1270,1076,1323,197,1474,200
78,486,1039,1270,1076,1324,196,1475,199
79,484,1039,1270,1076,1318,201,1474,205
80,484,1039,1269,1075,1318,201,1474,205
81,483,1039,1269,1075,1318,201,1475,205
82,482,1039,1269,1075,1319,201,1476,205
83,481,1039,1268,1075,1318,201,1476,205
84,481,1040,1268,1077,1318,201,1477,205
85,482,1039,1267,1076,1316,202,1476,206
86,482,1039,1266,1076,1313,203,1476,207
87,482,1039,1266,1076,1314,203,1476,207
88,482,1039,1266,1076,1315,202,1476,206
89,482,1039,1266,1076,1315,202,1475,206
90,482,1039,1266,1076,1314,202,1475,206
91,482,1039,1266,1076,1311,204,1473,208
92,483,1039,1266,1076,1313,201,1474,205
93,484,1039,1266,1076,1311,204,1473,208
94,484,1040,1266,1077,1310,203,1472,207
95,485,1040,1266,1077,1309,204,1472,208
96,487,1040,1266,1077,1309,203,1472,207
97,487,1040,1266,1077,1310,202,1472,206
98,488,1040,1266,1077,1309,202,1472,206
99,490,1040,1266,1077,1308,202,1472,206
100,492,1040,1266,1077,1306,203,1472,207
101,493,1041,1266,1078,1306,203,1473,207
102,495,1041,1266,1078,1304,204,1474,208
103,495,1041,1266,1078,1304,203,1475,207
104,497,1041,1266,1078,1300,208,1474,212
105,497,1040,1266,1077,1300,208,1474,212
106,496,1041,1266,1078,1304,204,1475,208
107,496,1041,1266,1078,1305,204,1475,208
