frame,x,y
76,294,2092
77,307,2053
78,319,2014
79,330,1976
80,342,1937
81,353,1899
82,364,1861
83,375,1823
84,385,1786
85,395,1749
86,404,1712
87,414,1675
88,423,1638
89,431,1602
90,440,1566
91,448,1530
92,455,1495
93,463,1459
94,470,1424
95,477,1389
96,483,1355
97,489,1320
98,495,1286
99,501,1252
100,506,1218
101,511,1185
102,516,1152
103,520,1119
104,524,1086
105,527,1053
106,534,1004
107,538,972
108,543,940
109,544,924
110,546,893
111,547,862
112,548,831
113,549,800
114,550,770
115,550,740
116,549,710
117,549,681
118,548,652
119,546,623
120,545,594
121,542,566
122,540,537
123,537,509
124,534,482
125,530,454
126,526,427
127,522,400
128,517,374
129,512,347
130,507,321
131,501,295
132,495,270
133,488,244
134,482,219
135,474,194
136,467,170
137,459,145
138,450,121
