frame,x,y
73,46,1716
74,47,1689
75,49,1662
76,50,1635
77,51,1608
78,52,1581
79,54,1554
80,55,1527
81,56,1500
82,57,1473
83,58,1446
84,59,1419
85,61,1392
86,62,1365
87,63,1338
88,64,1311
89,65,1284
90,66,1257
91,67,1229
92,68,1202
93,69,1175
94,70,1147
95,71,1120
96,72,1093
97,73,1066
98,74,1039
99,75,1013
100,76,986
101,77,960
102,78,934
103,79,908
104,80,882
105,81,856
106,82,830
107,82,804
108,83,779
109,84,754
110,85,730
111,85,706
112,86,682
113,86,657
114,87,632
115,87,608
116,87,583
117,87,559
118,87,535
119,87,511
120,87,488
121,87,464
122,86,441
123,86,418
124,85,395
125,84,371
126,83,348
127,82,326
128,81,303
129,80,281
130,79,259
131,78,238
132,76,216
133,75,195
134,73,174
135,72,153
136,70,132
137,68,111
138,66,91
139,64,70
140,62,50
141,60,30
142,58,11
