frame,x,y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,20.0,1816.0
42,22.0,1751.0
43,22.0,1751.0
44,24.0,1721.0
45,25.0,1687.0
46,28.0,1624.0
47,29.0,1590.0
48,28.0,1585.0
49,30.0,1551.0
50,31.0,1515.0
51,34.0,1452.0
52,35.0,1416.0
53,35.0,1419.0
54,36.0,1380.0
55,38.0,1356.0
56,40.0,1288.0
57,42.0,1255.0
58,42.0,1255.0
59,43.0,1218.0
60,44.0,1189.0
61,46.0,1129.0
62,48.0,1095.0
63,48.0,1095.0
64,50.0,1067.0
65,52.0,1038.0
66,54.0,977.0
67,55.0,954.0
68,55.0,941.0
69,57.0,922.0
70,58.0,889.0
71,61.0,834.0
72,60.0,782.0
73,60.0,782.0
74,64.0,776.0
75,65.0,744.0
76,68.0,681.0
77,69.0,652.0
78,69.0,652.0
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,85.0,173.0
93,85.0,173.0
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
