frame,x,y,radius
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,853.0,979.0,44.0
15,881.0,932.0,44.0
16,909.0,897.0,47.0
17,925.0,868.0,44.0
18,953.0,831.0,37.0
19,,,
20,994.0,763.0,37.0
21,1003.0,734.0,38.0
22,1019.0,704.0,36.0
23,943.0,548.0,37.0
24,1052.0,658.0,27.0
25,1057.0,633.0,31.0
26,1070.0,613.0,31.0
27,1082.0,589.0,30.0
28,1091.0,571.0,29.0
29,1101.0,556.0,29.0
30,1108.0,539.0,26.0
31,1118.0,524.0,27.0
32,1126.0,510.0,26.0
33,1132.0,497.0,26.0
34,1140.0,484.0,25.0
35,1145.0,472.0,24.0
36,1151.0,460.0,24.0
37,1157.0,450.0,23.0
38,1164.0,440.0,23.0
39,1168.0,430.0,23.0
40,1171.0,419.0,22.0
41,1176.0,410.0,21.0
42,1181.0,402.0,21.0
43,1185.0,394.0,20.0
44,1188.0,384.0,20.0
45,1193.0,377.0,19.0
46,1196.0,369.0,19.0
47,1199.0,362.0,18.0
48,1202.0,355.0,18.0
49,1206.0,349.0,18.0
50,1209.0,343.0,17.0
51,1210.0,337.0,17.0
52,1211.0,330.0,16.0
53,1213.0,324.0,16.0
54,1214.0,319.0,16.0
55,1216.0,314.0,16.0
56,1216.0,309.0,16.0
57,1217.0,304.0,16.0
58,1217.0,300.0,15.0
59,1215.0,296.0,15.0
60,1215.0,292.0,15.0
61,1213.0,288.0,15.0
62,1214.0,284.0,15.0
63,1211.0,279.0,15.0
64,1207.0,275.0,15.0
65,1208.0,275.0,14.0
66,1204.0,271.0,13.0
67,1206.0,263.0,13.0
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
