Frame,hx1,hy1,hx2,hy2,lx1,ly1,lx2,ly2,rx1,ry1,rx2,ry2
0,-1008.88248258,571.66960419,990.88248258,602.33039581,143,808,808,-143,624,935,935,-624
1,-1008.88288189,572.69567018,990.88288189,603.30432982,143,808,808,-143,624,934,934,-624
2,-1008.88288189,572.69567018,990.88288189,603.30432982,142,808,808,-142,625,934,934,-625
3,-1008.88288189,572.69567018,990.88288189,603.30432982,142,808,808,-142,625,934,934,-625
4,-1008.88288189,572.69567018,990.88288189,603.30432982,142,809,809,-142,625,934,934,-625
5,-1008.88288189,572.69567018,990.88288189,603.30432982,142,809,809,-142,625,934,934,-625
6,-1008.88288189,572.69567018,990.88288189,603.30432982,142,809,809,-142,625,934,934,-625
7,-1008.88327916,573.72164769,990.88327916,604.27835231,142,809,809,-142,625,934,934,-625
8,-1008.88327916,573.72164769,990.88327916,604.27835231,142,809,809,-142,626,934,934,-626
9,-1008.88327916,573.72164769,990.88327916,604.27835231,142,809,809,-142,626,934,934,-626
10,-1008.88327916,573.72164769,990.88327916,604.27835231,142,809,809,-142,626,934,934,-626
11,-1008.88327916,573.72164769,990.88327916,604.27835231,142,809,809,-142,625,934,934,-625
12,-1008.88327916,573.72164769,990.88327916,604.27835231,142,809,809,-142,625,934,934,-625
13,-1008.88327916,573.72164769,990.88327916,604.27835231,142,809,809,-142,625,934,934,-625
14,-1008.88367442,574.74753717,990.88367442,605.25246283,142,809,809,-142,625,934,934,-625
15,-1008.88367442,574.74753717,990.88367442,605.25246283,142,809,809,-142,625,934,934,-625
16,-1008.88367442,574.74753717,990.88367442,605.25246283,142,809,809,-142,625,934,934,-625
17,-1007.90808507,576.44192427,991.90808507,603.55807573,142,809,809,-142,625,934,934,-625
18,-1007.90808507,576.44192427,991.90808507,603.55807573,143,811,811,-143,626,934,934,-626
19,-1007.90808507,576.44192427,991.90808507,603.55807573,144,811,811,-144,626,934,934,-626
20,-1007.90808507,576.44192427,991.90808507,603.55807573,144,812,812,-144,626,934,934,-626
