0,1,2
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[1200  316 1253  263],[306 131 381 217]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[1060  456 1121  393],[1278 1035 1301  939]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1058  459],[1316  874 1329  820]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1058  459],[1303  926 1329  821]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[1182  335 1238  277],[1303  926 1326  833]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1058  459],[1286 1004 1301  937]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1058  459],[1304  925 1318  868]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1058  459],[1285 1006 1301  936]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1058  459],[1304  925 1321  854]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1058  459],[1304  925 1323  844]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1058  459],[1278 1035 1301  939]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 511 1008  577  942],[1285 1006 1298  953]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1058  459],[1304  925 1329  817]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1076  441],[1278 1036 1298  952]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1076  441],[1411  499 1434  406]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1076  441],[1304  925 1318  868]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1076  441],[1411  499 1434  406]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1076  441],[1304  925 1324  841]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[1187  331 1242  274],[1411  499 1434  406]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1076  441],[1303  926 1329  821]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1076  441],[1304  925 1318  868]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 498 1022  555  965],[1278 1035 1290  984]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[1182  335 1238  277],[1278 1036 1291  983]
[-1044.96854021   966.59233908   952.96854021  1057.40766092],[ 996  521 1076  441],[1305  923 1329  818]
