Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
0,549,897,1473,909,963,452,1332,453
1,549,898,1472,910,963,452,1331,453
2,548,899,1475,910,963,452,1333,453
3,547,899,1472,911,963,452,1338,453
4,547,900,1476,911,963,452,1337,453
5,547,899,1479,910,963,452,1336,453
6,547,899,1481,909,963,452,1342,453
7,548,899,1482,909,963,452,1345,453
8,551,899,1486,909,966,452,1350,454
9,554,898,1487,909,970,452,1353,454
10,560,899,1494,910,975,452,1353,454
11,560,898,1496,910,978,452,1357,454
12,561,898,1496,909,981,452,1362,454
13,566,897,1502,909,981,452,1365,454
14,568,897,1506,908,983,452,1365,454
15,571,896,1508,907,985,453,1366,454
16,574,896,1510,907,985,453,1371,455
17,576,896,1511,907,988,453,1374,455
18,579,896,1515,907,986,453,1373,455
19,580,896,1515,908,994,453,1379,455
20,582,897,1518,909,979,453,1379,455
21,584,897,1519,909,981,453,1380,455
22,583,897,1522,910,991,454,1383,456
23,585,897,1524,910,1002,454,1385,456
24,590,898,1526,911,1003,454,1386,456
25,590,898,1526,911,1002,455,1388,457
26,593,898,1528,912,1002,456,1391,458
27,594,898,1528,912,1004,456,1393,458
28,597,898,1529,912,1005,457,1396,459
29,598,898,1531,913,1007,458,1393,460
30,601,898,1532,913,1009,459,1394,461
31,603,899,1533,914,1007,460,1394,462
32,603,900,1534,915,1011,461,1396,463
33,603,902,1535,916,1014,462,1397,464
34,603,905,1535,918,1014,463,1396,465
35,602,907,1536,920,1013,465,1398,467
36,603,910,1535,923,1019,466,1401,468
37,601,912,1537,925,1017,468,1401,470
38,610,914,1539,928,1013,469,1402,471
39,602,916,1539,930,1023,471,1398,473
40,605,918,1539,933,1019,473,1398,475
41,606,920,1539,935,1019,474,1398,476
42,603,921,1539,936,1018,476,1399,478
43,606,922,1539,937,1021,478,1398,480
44,606,923,1537,938,1023,479,1398,481
45,604,925,1537,940,1017,481,1396,483
46,606,926,1534,942,1015,483,1394,485
47,600,928,1532,944,1013,484,1392,486
48,597,930,1527,947,1009,486,1388,488
49,594,932,1525,949,1006,487,1382,489
50,590,933,1519,951,1002,488,1378,490
51,585,934,1516,952,1003,489,1369,491
52,584,935,1513,953,1001,490,1370,491
53,586,936,1511,953,992,490,1367,492
54,582,936,1507,954,995,490,1366,492
55,580,937,1505,955,993,490,1364,492
56,579,938,1503,955,993,490,1364,492
57,578,938,1501,956,993,490,1363,492
58,574,939,1501,957,994,489,1357,491
59,573,939,1498,957,992,488,1360,490
60,570,939,1499,956,990,487,1356,489
61,571,938,1498,954,986,486,1353,488
62,564,937,1498,952,984,485,1356,487
63,566,935,1497,949,983,484,1355,486
64,564,931,1496,945,983,482,1356,484
65,567,928,1496,942,978,481,1355,483
66,567,925,1497,940,972,479,1355,481
67,561,922,1496,936,974,478,1354,480
68,559,919,1495,931,972,476,1354,478
69,557,918,1496,929,970,474,1354,477
70,558,916,1496,926,971,473,1354,475
71,559,914,1495,923,972,471,1354,473
72,562,913,1495,922,975,469,1355,471
73,563,912,1496,921,974,468,1356,470
74,563,911,1496,920,977,467,1356,469
75,564,910,1498,921,976,465,1357,467
76,566,909,1499,921,979,464,1358,466
77,567,908,1499,921,983,463,1359,465
78,575,908,1501,922,978,462,1360,464
79,571,907,1502,923,986,461,1361,463
80,572,908,1502,924,989,460,1360,462
81,571,909,1503,925,988,460,1361,462
82,571,910,1502,926,989,460,1363,462
83,569,911,1506,927,989,460,1362,462
84,569,912,1506,928,991,460,1363,462
85,571,913,1507,929,992,460,1363,462
86,573,914,1508,930,993,461,1362,463
87,570,915,1508,931,994,462,1363,464
88,572,916,1508,932,992,463,1364,465
89,572,916,1508,933,994,464,1363,466
90,581,917,1508,934,984,465,1364,467
91,576,917,1507,934,993,466,1364,468
92,576,918,1506,935,995,467,1363,469
93,575,919,1506,936,997,467,1363,469
94,576,921,1506,937,999,467,1362,469
95,584,923,1507,938,996,467,1362,469
96,587,925,1507,940,996,466,1363,468
97,583,926,1508,941,1000,465,1362,467
98,579,928,1508,943,1005,464,1362,466
99,586,929,1509,944,1005,463,1362,465
100,586,930,1509,946,1006,462,1361,464
101,585,932,1510,948,1009,461,1361,463
102,585,933,1510,949,1013,461,1361,463
103,584,934,1511,950,1014,460,1361,462
104,584,934,1511,951,1017,460,1360,462
105,583,935,1511,951,1018,460,1360,462
106,583,935,1511,952,1021,458,1360,460
107,584,935,1511,951,1025,456,1360,458
108,585,934,1511,951,1027,454,1359,456
109,585,934,1511,950,1031,453,1358,455
110,586,933,1510,950,1034,451,1358,453
111,587,933,1510,950,1038,449,1358,451
112,588,933,1510,950,1041,448,1357,450
113,590,933,1510,950,1045,446,1356,448
114,591,933,1510,950,1049,444,1356,446
115,592,933,1510,950,1052,443,1355,444
116,594,933,1510,950,1056,441,1355,443
117,595,933,1510,950,1061,439,1355,441
