Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
0,549,897,1473,909,966,450,1332,451
1,549,898,1472,910,966,450,1331,451
2,548,899,1475,910,965,451,1333,452
3,547,899,1472,911,964,452,1338,453
4,547,900,1476,911,962,454,1338,455
5,547,899,1479,910,963,453,1337,454
6,547,899,1481,909,962,454,1343,455
7,548,899,1482,909,961,455,1346,457
8,551,899,1486,909,965,454,1351,456
9,554,898,1487,909,968,455,1354,457
10,560,899,1494,910,974,454,1354,456
11,560,898,1496,910,977,454,1358,456
12,561,898,1496,909,980,454,1363,456
13,566,897,1502,909,982,452,1365,454
14,568,897,1506,908,985,451,1365,453
15,571,896,1508,907,987,451,1366,453
16,574,896,1510,907,988,451,1371,453
17,576,896,1511,907,990,452,1374,454
18,579,896,1515,907,987,453,1373,455
19,580,896,1515,908,997,451,1379,453
20,582,897,1518,909,977,456,1380,458
21,584,897,1519,909,980,455,1381,457
22,583,897,1522,910,993,452,1383,454
23,585,897,1524,910,1006,451,1384,453
24,590,898,1526,911,1006,452,1386,454
25,590,898,1526,911,1005,453,1388,455
26,593,898,1528,912,1005,453,1391,455
27,594,898,1528,912,1007,454,1393,456
28,597,898,1529,912,1007,456,1396,458
29,598,898,1531,913,1011,455,1392,457
30,601,898,1532,913,1013,456,1393,458
31,603,899,1533,914,1010,458,1394,460
32,603,900,1534,915,1015,458,1395,460
33,603,902,1535,916,1018,459,1396,461
34,603,905,1535,918,1017,461,1396,463
35,602,907,1536,920,1016,463,1398,465
36,603,910,1535,923,1021,465,1401,467
37,601,912,1537,925,1019,467,1401,469
38,610,914,1539,928,1012,471,1403,473
39,602,916,1539,930,1026,469,1398,471
40,605,918,1539,933,1025,467,1397,469
41,606,920,1539,935,1019,475,1399,477
42,603,921,1539,936,1019,476,1399,478
43,606,922,1539,937,1021,479,1399,481
44,606,923,1537,938,1024,479,1398,481
45,604,925,1537,940,1017,482,1397,484
46,606,926,1534,942,1014,485,1395,487
47,600,928,1532,944,1012,486,1393,488
48,597,930,1527,947,1007,489,1389,491
49,594,932,1525,949,1004,490,1383,492
50,590,933,1519,951,998,493,1380,495
51,585,934,1516,952,1001,492,1370,494
52,584,935,1513,953,997,495,1372,497
53,586,936,1511,953,986,498,1370,500
54,582,936,1507,954,990,497,1368,499
55,580,937,1505,955,986,499,1367,501
56,579,938,1503,955,985,500,1367,502
57,578,938,1501,956,984,500,1366,502
58,574,939,1501,957,985,500,1361,502
59,573,939,1498,957,981,501,1364,503
60,570,939,1499,956,980,499,1360,501
61,571,938,1498,954,978,496,1356,498
62,564,937,1498,952,977,494,1359,496
63,566,935,1497,949,977,491,1358,493
64,564,931,1496,945,979,487,1358,489
65,567,928,1496,942,974,486,1357,488
66,567,925,1497,940,971,481,1356,483
67,561,922,1496,936,976,476,1354,478
68,559,919,1495,931,977,472,1353,474
69,557,918,1496,929,977,468,1352,470
70,558,916,1496,926,981,463,1351,465
71,559,914,1495,923,978,466,1353,468
72,562,913,1495,922,982,463,1353,465
73,563,912,1496,921,982,460,1354,462
74,563,911,1496,920,985,459,1354,461
75,564,910,1498,921,982,460,1356,462
76,566,909,1499,921,987,457,1356,459
77,567,908,1499,921,990,456,1357,458
78,575,908,1501,922,980,461,1360,463
79,571,907,1502,923,991,456,1360,458
80,572,908,1502,924,988,462,1361,464
81,571,909,1503,925,986,463,1362,465
82,571,910,1502,926,993,457,1362,459
83,569,911,1506,927,994,456,1361,458
84,569,912,1506,928,993,459,1363,461
85,571,913,1507,929,991,463,1364,465
86,573,914,1508,930,990,465,1364,467
87,570,915,1508,931,994,463,1364,465
88,572,916,1508,932,1002,453,1361,455
89,572,916,1508,933,1002,456,1361,458
90,581,917,1508,934,979,471,1366,473
91,576,917,1507,934,1001,459,1362,461
92,576,918,1506,935,1003,459,1361,461
93,575,919,1506,936,993,472,1365,474
94,576,921,1506,937,999,468,1363,470
95,584,923,1507,938,999,464,1362,466
96,587,925,1507,940,980,485,1369,487
97,583,926,1508,941,993,474,1365,476
98,579,928,1508,943,1004,466,1363,468
99,586,929,1509,944,985,486,1369,488
100,586,930,1509,946,1002,468,1363,470
101,585,932,1510,948,987,487,1369,489
102,585,933,1510,949,988,489,1370,491
103,584,934,1511,950,987,491,1371,493
104,584,934,1511,951,1002,477,1366,479
105,583,935,1511,951,1012,467,1363,469
106,583,935,1511,952,1021,459,1361,461
107,584,935,1511,951,1089,388,1339,389
108,585,934,1511,951,1146,327,1320,328
109,585,934,1511,950,1145,331,1321,332
110,586,933,1510,950,1117,363,1331,364
111,587,933,1510,950,1102,382,1337,383
112,588,933,1510,950,1080,407,1345,409
113,590,933,1510,950,1063,428,1351,430
114,591,933,1510,950,1057,437,1354,439
115,592,933,1510,950,1045,451,1358,453
116,594,933,1510,950,1034,465,1363,467
117,595,933,1510,950,700,822,1472,825
