frame,transformed_x,transformed_y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,552.0,16396.0
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,371.0,16722.0
55,380.0,16831.0
56,388.0,16569.0
57,398.0,16462.0
58,400.0,16509.0
59,410.0,16324.0
60,418.0,16182.0
61,423.0,16120.0
62,430.0,15958.0
63,438.0,15724.0
64,447.0,15698.0
65,457.0,15623.0
66,459.0,15503.0
67,470.0,15411.0
68,473.0,15296.0
69,477.0,15171.0
70,487.0,15077.0
71,496.0,14966.0
72,499.0,14883.0
73,505.0,14669.0
74,514.0,14593.0
75,524.0,14486.0
76,531.0,14352.0
77,534.0,14315.0
78,540.0,14228.0
79,548.0,13942.0
80,554.0,13872.0
81,562.0,13813.0
82,563.0,13752.0
83,574.0,13573.0
84,581.0,13418.0
85,584.0,13359.0
86,594.0,13134.0
87,602.0,13141.0
88,601.0,13088.0
89,616.0,12917.0
90,616.0,12823.0
91,630.0,12689.0
92,634.0,12542.0
93,641.0,12362.0
94,643.0,12285.0
95,652.0,12174.0
96,656.0,11992.0
97,664.0,11942.0
98,664.0,11942.0
99,674.0,11509.0
100,681.0,11705.0
101,685.0,11509.0
102,692.0,11680.0
103,694.0,11191.0
104,707.0,11012.0
105,709.0,10929.0
106,717.0,10836.0
107,716.0,10838.0
108,728.0,10398.0
109,732.0,10364.0
110,738.0,10241.0
111,746.0,10109.0
112,745.0,10200.0
113,,
114,752.0,10166.0
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,814.0,8964.0
123,824.0,9289.0
124,819.0,8635.0
125,821.0,8618.0
126,823.0,8670.0
127,834.0,8135.0
128,836.0,8128.0
129,835.0,8315.0
130,834.0,7832.0
131,860.0,7426.0
132,864.0,7302.0
133,869.0,7304.0
134,856.0,6399.0
135,,
136,,
137,,
138,887.0,6329.0
139,,
140,884.0,6214.0
141,884.0,6214.0
142,,
143,886.0,6601.0
144,,
145,908.0,6103.0
146,899.0,6111.0
147,915.0,6435.0
148,913.0,6310.0
149,919.0,6246.0
150,920.0,5999.0
151,930.0,6084.0
152,923.0,5795.0
153,932.0,5854.0
154,938.0,5929.0
155,936.0,5651.0
156,937.0,5453.0
157,942.0,5369.0
158,941.0,5228.0
159,943.0,5166.0
160,938.0,4873.0
161,938.0,4860.0
162,940.0,4854.0
163,947.0,4787.0
164,945.0,4844.0
165,935.0,4471.0
166,937.0,4546.0
167,934.0,4472.0
168,936.0,4475.0
169,932.0,4391.0
170,926.0,4307.0
171,918.0,4249.0
172,913.0,4173.0
173,917.0,3874.0
174,914.0,4036.0
175,898.0,4184.0
176,900.0,3663.0
177,890.0,3677.0
178,889.0,3625.0
179,877.0,3544.0
180,858.0,3486.0
181,863.0,3256.0
182,858.0,3264.0
183,845.0,3332.0
184,835.0,3017.0
185,835.0,2859.0
186,819.0,3031.0
187,800.0,3432.0
188,788.0,3046.0
189,778.0,2721.0
190,763.0,2881.0
191,753.0,2556.0
192,740.0,2556.0
193,723.0,2479.0
194,706.0,2393.0
195,699.0,2388.0
196,688.0,2644.0
197,687.0,2636.0
198,684.0,2556.0
199,656.0,2289.0
200,642.0,2109.0
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
