frame,x,y,radius,axis_x,axis_y,axis_z,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,974.0,819.0,63.0,-0.9315020694470617,-0.34868837579251916,0.10353893568612828,0.14309268495825758
71,993.0,799.0,62.0,-0.5794361620952551,0.7468554005334402,-0.32628322781037306,0.06934634305123559
72,1006.0,778.0,61.0,-0.38961552812029127,-0.31886846081301823,0.8640154193915078,0.20244767604509487
73,1022.0,762.0,60.0,-0.9941225635550966,0.07658361744316051,-0.07651978940092803,0.4747317780849964
74,1033.0,745.0,59.0,0.8579484811515864,0.41294379770726264,-0.30561711932545504,0.30117793542423527
75,1044.0,728.0,58.0,0.7002285843857421,-0.13481841514013895,-0.7010734088155396,0.178931463548503
76,1059.0,712.0,58.0,0.3012109882903097,0.022257975610571617,-0.9532977095613384,0.13509543315596784
77,1068.0,698.0,57.0,0.37462409082866965,0.31913474094842065,-0.8705227209502214,0.08712443203328041
78,1077.0,684.0,56.0,-0.7369928433215612,-0.2403853017982875,-0.6317091542570418,0.07384006921910584
79,1086.0,671.0,55.0,-0.1534876925058243,-0.8033118371193234,-0.5754403710144216,0.09901094147991506
80,1099.0,659.0,54.0,-0.1143191125636882,0.8342233038728036,-0.5394465865849878,0.07496377251643034
81,1107.0,646.0,53.0,0.24264226824263224,0.5647925371909411,-0.7887547905372683,0.049179742771593794
82,1114.0,635.0,52.0,-0.8703843049236348,-0.17931461668803958,-0.4585601705170462,0.09731812828266335
83,1126.0,623.0,52.0,-0.3953658112336537,0.824049080992538,-0.405744978308923,0.1519754952786603
