frame,x,y,radius,rotation_center_x,rotation_center_y
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,922.0,842.0,63.0,,
72,949.0,815.0,60.0,,
73,965.0,778.0,53.0,,
74,1000.0,751.0,62.0,,
75,1019.0,724.0,60.0,,
76,1045.0,699.0,53.0,,
77,1060.0,669.0,56.0,,
78,1082.0,644.0,54.0,,
79,1099.0,620.0,52.0,,
80,1117.0,595.0,49.0,,
81,1131.0,576.0,48.0,,
82,1147.0,557.0,45.0,,
83,1157.0,541.0,46.0,,
84,1171.0,521.0,44.0,,
85,1187.0,500.0,44.0,,
86,1196.0,489.0,41.0,,
87,1205.0,476.0,42.0,,
88,1213.0,464.0,41.0,,
89,1227.0,445.0,39.0,,
90,1235.0,433.0,37.0,,
91,1245.0,423.0,36.0,,
92,1252.0,411.0,36.0,,
93,1259.0,399.0,35.0,,
94,1268.0,389.0,34.0,,
95,1275.0,380.0,33.0,1268.8594007492065,376.5690906047821
96,1280.0,367.0,32.0,1270.9785118103027,360.638840675354
97,1287.0,361.0,32.0,1280.8714566230774,346.59745693206787
98,1294.0,351.0,32.0,1278.5367784500122,344.04066705703735
99,1298.0,345.0,31.0,1276.720121383667,347.4386923313141
100,1304.0,336.0,30.0,1318.3751125335693,312.86984062194824
101,1309.0,328.0,30.0,1297.6126699447632,319.8100709915161
102,1314.0,321.0,29.0,1294.2522201538086,329.84280586242676
103,1319.0,314.0,29.0,1329.1681776046753,290.87645530700684
104,1324.0,307.0,28.0,1320.383117198944,292.424165725708
105,1327.0,300.0,28.0,1311.179983139038,298.0115954875946
106,1332.0,294.0,27.0,1324.268099784851,288.00355052948
107,1334.0,289.0,26.0,,
108,1340.0,283.0,26.0,1322.1440296173096,285.31922006607056
109,1342.0,279.0,25.0,,
110,1345.0,270.0,26.0,1338.7316813468933,262.4140820503235
111,1349.0,266.0,26.0,1344.911784172058,253.4208278656006
112,1351.0,262.0,26.0,1352.6166803836823,247.45919036865234
113,1351.0,254.0,26.0,1344.9018621444702,244.31852912902832
114,1353.0,247.0,27.0,1345.2504053115845,237.59110832214355
115,1357.0,247.0,24.0,1349.3385744094849,242.7367663383484
116,1359.0,240.0,24.0,1352.5989170074463,235.0705509185791
117,1361.0,236.0,23.0,1351.908639907837,230.73215770721436
118,1362.0,232.0,23.0,1356.12260389328,230.11305963993073
119,1363.0,227.0,23.0,1351.9681720733643,229.39735770225525
120,1364.0,225.0,23.0,1355.6496257781982,221.44164943695068
121,1363.0,220.0,22.0,1359.1651928424835,213.59805965423584
122,1363.0,218.0,21.0,1352.0165214538574,218.64347207546234
123,1364.0,211.0,21.0,1356.7871646881104,207.96744227409363
124,1363.0,210.0,21.0,1350.201994895935,212.9516441822052
125,1364.0,208.0,21.0,1357.804831981659,203.21123933792114
126,1362.0,204.0,20.0,1349.5414428710938,205.9512641429901
127,1361.0,200.0,20.0,1357.742317199707,193.88180255889893
128,1360.0,195.0,20.0,1353.6338381767273,189.2634792327881
129,1359.0,192.0,19.0,1357.3765087127686,182.6733160018921
130,1356.0,191.0,19.0,,
131,1353.0,188.0,19.0,1344.7899541854858,188.83097749948502
132,1351.0,185.0,19.0,1334.65505027771,194.20978260040283
133,1347.0,184.0,18.0,1333.0738859176636,184.42045333981514
134,1346.0,182.0,18.0,1339.8899774551392,178.809960603714
135,1343.0,179.0,18.0,1329.4373321533203,179.87049359083176
136,1340.0,177.0,18.0,1327.3233423233032,178.57341384887695
137,1338.0,174.0,17.0,1342.1336240768433,161.10796451568604
138,1334.0,172.0,17.0,1341.5119214057922,159.30165481567383
139,1332.0,168.0,17.0,,
140,1330.0,167.0,17.0,1321.0642251968384,168.3250629901886
141,1330.0,166.0,16.0,1327.7336246967316,160.604097366333
142,1332.0,165.0,15.0,1322.9137592315674,173.273775100708
143,1324.0,162.0,15.0,,
144,1316.0,164.0,15.0,1310.2671933174133,162.4031502008438
145,1323.0,159.0,15.0,1310.5646200180054,166.8187403678894
146,1319.0,155.0,14.0,,
147,,,,,
148,,,,,
149,1312.0,154.0,14.0,1319.3203830718994,143.04388427734375
150,1319.0,147.0,13.0,1325.0033659934998,138.7455177307129
151,1311.0,157.0,13.0,,
152,1296.0,156.0,12.0,,
153,,,,,
154,1299.0,167.0,11.0,,
