frame,x,y,radius,x_axis,y_axis,z_axis,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,879.0,756.0,93.0,0.7302467659648005,0.4466593797594988,-0.5169478303183114,0.4420570806593014
44,891.0,753.0,92.0,0.7322101249286197,0.4428114787321508,-0.517480750613065,0.4420570806593014
45,901.0,750.0,91.0,0.7341429403108455,0.4382700613274909,-0.5186072661810127,0.4420570806593014
46,913.0,747.0,90.0,0.7360359788682784,0.4330826150905404,-0.52027923879178,0.4420570806593014
47,924.0,744.0,89.0,0.7378760729886447,0.4273103469577004,-0.5224411625185615,0.4420570806593014
48,935.0,740.0,88.0,0.7396474626853499,0.4210255967365853,-0.5250324540785324,0.4420570806593014
49,945.0,738.0,87.0,0.7413313708394406,0.4143104764403715,-0.5279911246612656,0.4420570806593014
50,956.0,735.0,87.0,0.7429074373739735,0.40725376190673,-0.5312559768202634,0.4420570806593014
51,958.0,733.0,86.0,0.7443574214008835,0.3999485598770904,-0.5347646011636046,0.4420570806593014
52,968.0,731.0,85.0,0.7456568560646761,0.3924878046627629,-0.5384692899272416,0.4420570806593014
53,979.0,728.0,84.0,0.7467874298856413,0.3849620852946627,-0.5423216088728009,0.4420570806593014
54,990.0,724.0,83.0,0.7477333421651507,0.3774567580433381,-0.5462794567086945,0.4420570806593014
55,1001.0,719.0,82.0,0.7484823232259237,0.3700490460032546,-0.55030711004893,0.4420570806593014
56,1012.0,714.0,82.0,0.749026509257927,0.3628055911929501,-0.554374775245067,0.446616704938321
57,1015.0,709.0,81.0,0.7493625649659978,0.3557807188602406,-0.5584584374104049,0.4506677146343105
58,1024.0,706.0,80.0,0.749493325161473,0.3490149760918414,-0.5625373783154412,0.4519170118988247
59,1034.0,701.0,80.0,0.7494270891121976,0.3425336340496859,-0.5665948708288261,0.4538769247880406
60,1044.0,698.0,79.0,0.7491779973058774,0.3363471264757385,-0.5706162798801558,0.4565474533019582
61,1046.0,696.0,78.0,0.748765790495369,0.3304516161092223,-0.5745881310944809,0.4599285974405772
62,1056.0,693.0,77.0,0.7482175254795179,0.3248286118614247,-0.5784953824201944,0.4640203572038978
