frame,pA_x,pA_y,pB_x,pB_y
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,980.0,898.0,885.0,807.0
67,,,,
68,1001.0,876.0,924.0,759.0
69,1004.0,868.0,947.0,745.0
70,1031.0,851.0,946.0,750.0
71,1049.0,830.0,948.0,749.0
72,1063.0,812.0,968.0,723.0
73,997.0,817.0,1052.0,704.0
74,1096.0,790.0,989.0,719.0
75,1104.0,766.0,1003.0,703.0
76,1105.0,734.0,1016.0,677.0
77,1117.0,724.0,1026.0,657.0
78,1124.0,709.0,1041.0,644.0
79,1135.0,701.0,1046.0,636.0
80,1143.0,691.0,1056.0,624.0
81,1157.0,673.0,1066.0,616.0
82,1157.0,670.0,1082.0,595.0
83,1160.0,659.0,1095.0,580.0
84,1176.0,645.0,1101.0,578.0
85,1175.0,641.0,1114.0,560.0
86,1190.0,622.0,1115.0,559.0
87,1201.0,610.0,1118.0,557.0
88,1201.0,605.0,1132.0,546.0
89,1207.0,591.0,1138.0,530.0
90,1217.0,585.0,1144.0,528.0
91,1223.0,573.0,1142.0,522.0
92,1225.0,567.0,1160.0,506.0
93,1238.0,553.0,1159.0,508.0
94,1240.0,546.0,1171.0,495.0
95,1237.0,546.0,1184.0,477.0
96,1245.0,538.0,1188.0,473.0
97,1249.0,530.0,1194.0,469.0
98,1252.0,520.0,1197.0,465.0
99,1260.0,515.0,1203.0,458.0
100,1264.0,509.0,1209.0,450.0
101,1272.0,502.0,1209.0,451.0
102,1278.0,491.0,1211.0,448.0
103,1280.0,486.0,1219.0,441.0
104,1282.0,483.0,1225.0,434.0
105,1284.0,477.0,1231.0,426.0
106,1290.0,469.0,1233.0,420.0
107,1295.0,463.0,1238.0,416.0
108,1296.0,459.0,1245.0,412.0
109,1300.0,456.0,1251.0,403.0
110,1305.0,449.0,1254.0,398.0
111,1308.0,442.0,1253.0,401.0
112,1309.0,438.0,1260.0,391.0
113,1317.0,431.0,1266.0,388.0
114,1316.0,428.0,1269.0,381.0
115,1323.0,419.0,1270.0,376.0
116,1328.0,411.0,1271.0,378.0
117,1331.0,407.0,1276.0,368.0
