frame,x,y,radius,rotation_center_x,rotation_center_y
43.0,879.0,756.0,93.0,893.0,830.0
44.0,891.0,753.0,92.0,939.0,797.0
45.0,901.0,750.0,91.0,952.0,675.0
46.0,913.0,747.0,90.0,955.0,667.0
47.0,924.0,744.0,89.0,946.0,657.0
48.0,935.0,740.0,88.0,941.0,652.0
49.0,945.0,738.0,87.0,940.0,651.0
50.0,956.0,736.0,86.0,946.0,650.0
51.0,958.0,733.0,86.0,940.0,648.0
52.0,968.0,731.0,85.0,933.0,653.0
53.0,979.0,728.0,84.0,942.0,652.0
54.0,990.0,724.0,83.0,987.0,641.0
55.0,1001.0,719.0,82.0,997.0,637.0
56.0,1012.0,715.0,81.0,1004.0,634.0
57.0,1015.0,709.0,81.0,1012.0,628.0
58.0,1024.0,706.0,80.0,1026.0,626.0
59.0,1034.0,702.0,79.0,1039.0,623.0
60.0,1044.0,699.0,78.0,1052.0,621.0
61.0,1046.0,696.0,78.0,1060.0,619.0
62.0,1056.0,693.0,77.0,1037.0,618.0
63.0,1065.0,691.0,76.0,1036.0,620.0
64.0,1074.0,688.0,76.0,1049.0,616.0
65.0,1076.0,686.0,75.0,1061.0,612.0
66.0,1085.0,684.0,74.0,1073.0,610.0
67.0,1094.0,680.0,74.0,1084.0,607.0
68.0,1097.0,676.0,73.0,1081.0,604.0
69.0,1106.0,673.0,72.0,1098.0,601.0
70.0,1114.0,669.0,72.0,1096.0,599.0
71.0,1123.0,665.0,71.0,1125.0,594.0
72.0,1125.0,662.0,71.0,1131.0,591.0
73.0,1133.0,659.0,70.0,1162.0,595.0
74.0,1141.0,654.0,70.0,1128.0,585.0
75.0,1141.0,654.0,69.0,1110.0,592.0
76.0,1149.0,652.0,68.0,1128.0,587.0
77.0,1156.0,650.0,68.0,1152.0,582.0
78.0,1157.0,649.0,67.0,1168.0,583.0
79.0,1164.0,646.0,67.0,1168.0,579.0
80.0,1171.0,644.0,66.0,1172.0,578.0
81.0,1172.0,641.0,66.0,1187.0,577.0
82.0,1178.0,639.0,65.0,1195.0,576.0
83.0,1185.0,635.0,65.0,1206.0,573.0
84.0,1186.0,633.0,64.0,1208.0,573.0
85.0,1190.0,631.0,64.0,1185.0,567.0
86.0,1195.0,631.0,63.0,1201.0,568.0
87.0,1194.0,630.0,63.0,1196.0,567.0
88.0,1198.0,628.0,63.0,1207.0,565.0
89.0,1202.0,629.0,62.0,1188.0,568.0
90.0,1201.0,625.0,62.0,1208.0,563.0
91.0,1205.0,624.0,61.0,1244.0,577.0
92.0,1210.0,621.0,61.0,1262.0,589.0
93.0,1209.0,618.0,60.0,1254.0,579.0
94.0,1213.0,615.0,60.0,1259.0,577.0
95.0,1217.0,613.0,60.0,1251.0,563.0
96.0,1216.0,611.0,59.0,1260.0,572.0
97.0,1221.0,610.0,59.0,1236.0,553.0
98.0,1225.0,607.0,59.0,1258.0,558.0
99.0,1225.0,606.0,58.0,1261.0,561.0
100.0,1230.0,605.0,58.0,1276.0,570.0
101.0,1229.0,603.0,57.0,1273.0,567.0
102.0,1233.0,600.0,57.0,1281.0,570.0
103.0,1238.0,599.0,57.0,1284.0,565.0
104.0,1237.0,596.0,56.0,1290.0,580.0
105.0,1241.0,593.0,56.0,1296.0,595.0
106.0,1247.0,590.0,56.0,1302.0,592.0
107.0,1246.0,588.0,56.0,1296.0,564.0
108.0,1250.0,585.0,55.0,1298.0,558.0
109.0,1255.0,584.0,55.0,1297.0,549.0
110.0,1255.0,582.0,55.0,1305.0,559.0
111.0,1260.0,581.0,54.0,1311.0,563.0
112.0,1259.0,579.0,54.0,1312.0,578.0
113.0,1264.0,576.0,54.0,1316.0,563.0
114.0,1264.0,574.0,53.0,1316.0,566.0
115.0,1264.0,570.0,53.0,1316.0,563.0
116.0,1263.0,565.0,53.0,1315.0,563.0
117.0,1268.0,560.0,53.0,1320.0,562.0
118.0,1267.0,556.0,52.0,1318.0,557.0
119.0,1267.0,552.0,52.0,1318.0,558.0
120.0,1272.0,549.0,52.0,1323.0,556.0
121.0,1271.0,546.0,52.0,1322.0,547.0
122.0,1270.0,543.0,51.0,1320.0,543.0
123.0,1275.0,542.0,51.0,1321.0,561.0
124.0,1275.0,536.0,51.0,1305.0,576.0
