frame,pA_x,pA_y,pB_x,pB_y,pA_x_smooth,pA_y_smooth,pB_x_smooth,pB_y_smooth
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,980.0,898.0,885.0,807.0,,,,
67,990.5,887.0,904.5,783.0,,,,
68,1001.0,876.0,924.0,759.0,,,,
69,1004.0,868.0,947.0,745.0,1012.0238095238104,865.1904761904769,938.1190476190485,752.6190476190483
70,1031.0,851.0,946.0,750.0,1035.8095238095248,847.6666666666674,940.7142857142866,746.9523809523816
71,1049.0,830.0,948.0,749.0,1034.095238095239,833.8571428571436,966.2380952380961,736.7619047619055
72,1063.0,812.0,968.0,723.0,1042.000000000001,820.0476190476197,984.8095238095246,728.0952380952388
73,997.0,817.0,1052.0,704.0,1053.3333333333344,807.0952380952388,1001.6666666666675,718.1904761904768
74,1096.0,790.0,989.0,719.0,1069.04761904762,788.4761904761913,1012.2380952380961,707.7619047619054
75,1104.0,766.0,1003.0,703.0,1090.5714285714296,766.0476190476197,1012.7142857142866,697.428571428572
76,1105.0,734.0,1016.0,677.0,1117.000000000001,739.9523809523816,1008.5714285714295,681.3333333333339
77,1117.0,724.0,1026.0,657.0,1115.8095238095248,722.1428571428578,1027.6666666666677,659.8095238095244
78,1124.0,709.0,1041.0,644.0,1123.9047619047628,710.0000000000007,1037.952380952382,644.3333333333339
79,1135.0,701.0,1046.0,636.0,1135.4761904761917,699.5238095238101,1046.8571428571438,635.0000000000006
80,1143.0,691.0,1056.0,624.0,1144.857142857144,688.1904761904768,1056.7142857142867,624.9047619047624
