frame,pA_x,pA_y,pB_x,pB_y
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,969.0,887.0,896.0,818.0
67,,,,
68,990.0,859.0,935.0,776.0
69,997.0,852.0,954.0,761.0
70,1019.0,840.0,958.0,761.0
71,1037.0,821.0,960.0,758.0
72,1055.0,799.0,976.0,736.0
73,997.0,817.0,1052.0,704.0
74,1083.0,784.0,1002.0,725.0
75,1095.0,763.0,1012.0,706.0
76,1102.0,733.0,1019.0,678.0
77,1113.0,718.0,1030.0,663.0
78,1123.0,706.0,1042.0,647.0
79,1130.0,699.0,1051.0,638.0
80,1139.0,688.0,1060.0,627.0
81,1152.0,674.0,1071.0,615.0
82,1158.0,665.0,1081.0,600.0
83,1160.0,659.0,1095.0,580.0
84,1175.0,646.0,1102.0,577.0
85,1175.0,641.0,1114.0,560.0
86,1191.0,623.0,1114.0,558.0
87,1199.0,615.0,1120.0,552.0
88,1206.0,606.0,1127.0,545.0
89,1213.0,590.0,1132.0,531.0
90,1220.0,587.0,1141.0,526.0
91,1221.0,579.0,1144.0,516.0
92,1231.0,568.0,1154.0,505.0
93,1242.0,556.0,1155.0,505.0
94,1245.0,551.0,1166.0,490.0
95,1242.0,550.0,1179.0,473.0
96,1248.0,545.0,1185.0,466.0
97,1256.0,536.0,1187.0,463.0
98,1260.0,528.0,1189.0,457.0
99,1267.0,522.0,1196.0,451.0
100,1272.0,515.0,1201.0,444.0
101,1278.0,509.0,1203.0,444.0
102,1284.0,500.0,1205.0,439.0
103,1290.0,493.0,1209.0,434.0
104,1293.0,489.0,1214.0,428.0
105,1296.0,484.0,1219.0,419.0
106,1298.0,478.0,1225.0,411.0
107,1302.0,474.0,1231.0,405.0
108,1306.0,471.0,1235.0,400.0
109,1312.0,464.0,1239.0,395.0
110,1317.0,457.0,1242.0,390.0
111,1318.0,454.0,1243.0,389.0
112,1321.0,448.0,1248.0,381.0
113,1328.0,444.0,1255.0,375.0
114,1330.0,437.0,1255.0,372.0
115,1336.0,428.0,1257.0,367.0
116,1340.0,423.0,1259.0,366.0
117,1344.0,417.0,1263.0,358.0
