frame,x,y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,28.61496925354004,1727.060302734375
43,29.259029388427734,1721.0078125
44,31.61520767211914,1724.378173828125
45,31.987777709960938,1714.039794921875
46,33.74246597290039,1713.775390625
47,34.45682907104492,1722.0716552734375
48,34.619205474853516,1725.4798583984375
49,36.547523498535156,1688.6058349609375
50,37.05901336669922,1678.3802490234375
51,37.9958610534668,1666.384521484375
52,38.903629302978516,1653.1822509765625
53,39.19015121459961,1640.32861328125
54,41.678775787353516,1637.960693359375
55,41.31968307495117,1623.5504150390625
56,42.14182662963867,1612.7203369140625
57,42.857200622558594,1604.1065673828125
58,43.31707763671875,1591.5133056640625
59,44.3817138671875,1573.6392822265625
60,45.753509521484375,1570.84521484375
61,46.34397888183594,1549.974853515625
62,46.65675735473633,1540.5037841796875
63,46.765342712402344,1532.75830078125
64,48.2305793762207,1510.76708984375
65,48.92020034790039,1497.7677001953125
66,49.33380889892578,1482.485595703125
67,50.68844223022461,1466.2374267578125
68,50.044742584228516,1469.9171142578125
69,50.74161911010742,1460.1788330078125
70,52.4980583190918,1441.0555419921875
71,53.42655563354492,1429.9637451171875
72,53.76782989501953,1418.8431396484375
73,54.329132080078125,1405.912841796875
74,55.14795684814453,1391.802734375
75,55.65239715576172,1378.9879150390625
76,56.3992805480957,1373.6484375
77,56.78531265258789,1354.7147216796875
78,58.13539123535156,1332.0059814453125
79,58.960174560546875,1332.239013671875
80,59.290184020996094,1319.6910400390625
81,59.68478012084961,1305.7855224609375
82,60.833370208740234,1282.890625
83,61.18215560913086,1283.3355712890625
84,62.07353591918945,1267.985107421875
85,62.57550048828125,1251.94580078125
86,63.176692962646484,1232.3111572265625
87,64.4816665649414,1220.5826416015625
88,64.84229278564453,1205.384521484375
89,64.30787658691406,1193.1070556640625
90,65.89091491699219,1171.775146484375
91,66.58679962158203,1159.09375
92,67.09278106689453,1134.9156494140625
93,67.46504211425781,1116.560791015625
94,68.04507446289062,1128.123779296875
95,68.8871841430664,1140.7515869140625
96,69.20997619628906,1124.4024658203125
97,70.4094467163086,1092.218994140625
98,71.15995788574219,1075.6788330078125
99,71.5882797241211,1096.5546875
100,71.19280242919922,1091.594482421875
101,74.14915466308594,1070.5526123046875
102,73.2713851928711,1041.2054443359375
103,74.26372528076172,1029.7802734375
104,74.66400909423828,1035.3135986328125
105,67.83606719970703,759.6611938476562
106,75.73939514160156,974.156494140625
107,76.0066146850586,1023.6395874023438
108,66.9255142211914,781.1618041992188
109,66.94385528564453,722.5226440429688
110,80.41728210449219,965.0941772460938
