Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
0,630,1041,1323,1049,1247,446,1541,446
1,627,1041,1319,1051,1243,445,1538,445
2,623,1042,1316,1053,1239,447,1534,447
3,621,1042,1312,1053,1234,448,1532,448
4,617,1041,1308,1052,1234,444,1529,444
5,614,1039,1304,1051,1228,442,1524,442
6,610,1038,1300,1049,1221,443,1519,443
7,606,1036,1296,1046,1221,439,1517,439
8,601,1034,1291,1044,1215,438,1512,438
9,598,1032,1286,1042,1210,438,1509,438
10,593,1030,1282,1041,1206,436,1504,436
11,590,1028,1278,1039,1205,433,1501,433
12,585,1027,1272,1037,1199,433,1498,433
13,582,1024,1269,1035,1194,429,1491,429
14,577,1023,1264,1033,1190,429,1488,429
15,573,1021,1258,1031,1186,427,1483,427
16,569,1020,1252,1029,1181,426,1478,426
17,565,1018,1250,1027,1180,423,1474,423
18,562,1016,1245,1025,1177,421,1472,421
19,558,1014,1241,1024,1171,418,1466,418
20,554,1013,1239,1022,1161,419,1463,419
21,550,1011,1237,1021,1154,417,1461,417
22,546,1010,1234,1019,1148,416,1458,416
23,543,1008,1232,1018,1146,413,1455,413
24,540,1006,1228,1017,1144,411,1451,411
25,535,1004,1225,1015,1146,409,1447,409
26,532,1002,1221,1013,1149,408,1444,408
27,530,1000,1218,1011,1148,406,1440,406
28,526,998,1213,1008,1144,404,1438,404
29,522,996,1212,1006,1140,402,1434,402
30,522,994,1208,1006,1135,399,1430,399
31,523,994,1204,1006,1130,397,1425,397
32,519,993,1199,1006,1126,395,1422,395
33,515,992,1198,1007,1124,394,1419,394
34,512,992,1192,1008,1121,394,1415,394
35,507,991,1188,1008,1118,393,1413,393
36,503,989,1186,1006,1114,391,1410,391
37,502,987,1182,1004,1112,389,1410,389
38,500,985,1178,1003,1113,385,1410,385
39,499,983,1177,1001,1111,383,1406,383
40,496,981,1175,999,1109,381,1404,381
41,491,980,1172,998,1108,380,1402,380
42,487,979,1170,996,1106,378,1399,378
43,485,978,1170,993,1103,377,1395,377
44,484,976,1168,991,1100,375,1392,375
45,483,974,1167,988,1099,373,1390,373
46,481,972,1165,985,1096,372,1389,372
47,480,971,1163,983,1095,371,1386,371
48,478,970,1160,982,1092,369,1384,369
49,472,969,1156,981,1090,367,1383,367
50,469,969,1153,981,1088,366,1381,366
51,465,969,1150,981,1085,366,1378,366
52,461,969,1146,981,1080,366,1376,366
53,456,969,1143,981,1078,366,1374,366
54,452,969,1141,981,1074,366,1369,366
55,449,969,1139,981,1071,366,1366,366
56,445,970,1136,981,1069,365,1364,365
57,442,970,1134,981,1066,364,1362,364
58,440,970,1131,981,1064,363,1361,363
59,438,970,1128,982,1064,362,1360,362
60,435,970,1125,982,1063,359,1358,359
61,435,970,1123,982,1063,358,1357,358
62,432,971,1121,982,1060,360,1355,360
63,430,971,1119,982,1058,360,1351,360
64,428,971,1117,982,1057,359,1349,359
65,425,971,1115,982,1056,359,1348,359
66,422,971,1113,982,1054,359,1346,359
67,421,972,1111,983,1052,360,1344,360
68,419,972,1109,983,1050,360,1342,360
69,418,973,1108,983,1049,362,1339,362
70,417,973,1107,983,1049,362,1337,362
71,418,974,1107,983,1048,363,1334,363
72,416,975,1105,985,1044,368,1331,368
73,416,977,1104,986,1041,370,1328,370
74,416,979,1102,988,1042,372,1327,372
75,414,982,1100,991,1039,375,1325,375
76,410,986,1098,995,1035,379,1323,379
77,409,989,1097,997,1033,382,1320,382
78,407,992,1095,1000,1032,385,1319,385
79,405,995,1094,1003,1030,388,1317,388
80,403,999,1092,1007,1026,392,1316,392
81,401,1003,1089,1012,1025,395,1314,395
82,401,1008,1087,1018,1019,400,1312,400
83,399,1012,1085,1024,1019,404,1310,404
84,398,1017,1083,1029,1018,408,1309,408
85,398,1020,1082,1033,1018,411,1307,411
86,399,1024,1081,1037,1015,416,1305,416
87,396,1026,1079,1039,1015,418,1304,418
88,394,1029,1076,1042,1014,421,1303,421
89,391,1032,1074,1045,1011,424,1302,424
90,388,1036,1072,1047,1008,427,1301,427
91,383,1038,1071,1049,1008,429,1300,429
92,382,1040,1069,1051,1007,431,1298,431
93,381,1042,1068,1053,1004,433,1297,433
94,380,1044,1066,1054,1004,435,1295,435
95,381,1045,1063,1056,1002,436,1293,436
