frame,x,y,radius
67,952,838,69
68,965,823,68
69,978,808,67
70,991,793,66
71,1004,780,64
72,1016,764,63
73,1028,751,62
74,1039,736,61
75,1051,723,60
76,1061,709,59
77,1072,696,58
78,1081,684,57
79,1091,672,56
80,1101,660,55
81,1110,648,54
82,1119,637,53
83,1127,626,52
84,1135,615,51
85,1143,604,50
86,1152,592,50
87,1159,582,49
88,1166,574,48
89,1173,565,47
90,1180,554,47
91,1186,546,46
92,1192,538,45
93,1198,530,44
94,1205,521,44
95,1210,514,43
96,1216,507,42
97,1221,501,42
98,1226,494,41
99,1231,487,41
100,1236,481,40
101,1241,474,40
102,1245,468,39
103,1250,462,38
104,1254,455,38
105,1258,451,37
106,1262,445,37
107,1266,440,36
108,1271,433,36
109,1274,427,36
110,1278,424,35
111,1282,419,35
112,1285,414,34
113,1289,409,34
114,1292,405,33
115,1296,400,33
116,1299,395,33
117,1302,391,32
118,1305,386,32
119,1308,382,32
120,1311,378,31
121,1314,374,31
122,1317,370,31
123,1320,366,30
124,1323,362,30
125,1325,358,30
126,1328,355,29
127,1331,351,29
128,1333,348,29
129,1335,344,29
130,1337,341,28
131,1340,337,28
132,1342,334,28
133,1344,331,28
134,1346,329,27
135,1348,326,27
136,1350,323,27
137,1352,320,27
138,1353,318,26
139,1355,315,26
140,1357,312,26
141,1359,309,26
142,1361,306,26
143,1362,304,25
144,1364,302,25
145,1366,299,25
146,1368,296,25
147,1369,293,25
148,1371,292,24
149,1373,289,24
150,1374,286,24
151,1376,284,24
152,1377,281,24
153,1379,279,24
154,1381,276,24
155,1382,275,23
156,1384,272,23
157,1385,270,23
158,1387,268,23
159,1388,265,23
160,1390,263,23
161,1391,261,23
162,1392,259,23
163,1394,257,22
164,1395,255,22
165,1396,253,22
166,1397,251,22
167,1398,249,22
168,1399,247,22
169,1400,245,22
170,1401,243,22
171,1402,242,22
172,1403,240,22
173,1404,240,21
174,1404,238,21
175,1405,236,21
176,1405,235,21
177,1405,233,21
178,1406,232,21
179,1406,231,21
180,1406,229,21
181,1406,228,21
