frame,x,y
67,952,907
68,965,891
69,978,875
70,991,859
71,1004,844
72,1016,827
73,1028,813
74,1039,797
75,1051,783
76,1061,768
77,1072,754
78,1081,741
79,1091,728
80,1101,715
81,1110,702
82,1119,690
83,1127,678
84,1135,666
85,1143,654
86,1152,642
87,1159,631
88,1166,622
89,1173,612
90,1180,601
91,1186,592
92,1192,583
93,1198,574
94,1205,565
95,1210,557
96,1216,549
97,1221,543
98,1226,535
99,1231,528
100,1236,521
101,1241,514
102,1245,507
103,1250,500
104,1254,493
105,1258,488
106,1262,482
107,1266,476
108,1271,469
109,1274,463
110,1278,459
111,1282,454
112,1285,448
113,1289,443
114,1292,438
115,1296,433
116,1299,428
117,1302,423
118,1305,418
119,1308,414
120,1311,409
121,1314,405
122,1317,401
123,1320,396
124,1323,392
125,1325,388
126,1328,384
127,1331,380
128,1333,377
129,1335,373
130,1337,369
131,1340,365
132,1342,362
133,1344,359
134,1346,356
135,1348,353
136,1350,350
137,1352,347
138,1353,344
139,1355,341
140,1357,338
141,1359,335
142,1361,332
143,1362,329
144,1364,327
145,1366,324
146,1368,321
147,1369,318
148,1371,316
149,1373,313
150,1374,310
151,1376,308
152,1377,305
153,1379,303
154,1381,300
155,1382,298
156,1384,295
157,1385,293
158,1387,291
159,1388,288
160,1390,286
161,1391,284
162,1392,282
163,1394,279
164,1395,277
165,1396,275
166,1397,273
167,1398,271
168,1399,269
169,1400,267
170,1401,265
171,1402,264
172,1403,262
173,1404,261
174,1404,259
175,1405,257
176,1405,256
177,1405,254
178,1406,253
179,1406,252
180,1406,250
181,1406,249
