frame,x,y,radius
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,909.0,866.0,77.0
66,933.0,853.0,66.0
67,947.0,829.0,72.0
68,963.0,818.0,70.0
69,976.0,807.0,68.0
70,989.0,801.0,66.0
71,1003.0,785.0,65.0
72,1012.0,772.0,64.0
73,1026.0,756.0,62.0
74,1045.0,756.0,65.0
75,1051.0,735.0,62.0
76,1055.0,699.0,64.0
77,1073.0,692.0,56.0
78,1075.0,679.0,61.0
79,1092.0,668.0,56.0
80,1101.0,658.0,55.0
81,1112.0,645.0,54.0
82,1120.0,633.0,53.0
83,1128.0,620.0,51.0
84,1139.0,612.0,50.0
85,1145.0,601.0,51.0
86,1153.0,591.0,49.0
87,1160.0,584.0,49.0
88,1168.0,575.0,46.0
89,1174.0,561.0,47.0
90,1182.0,555.0,46.0
91,1188.0,549.0,44.0
92,1193.0,538.0,45.0
93,1200.0,531.0,44.0
94,1204.0,520.0,42.0
95,1210.0,512.0,42.0
96,1217.0,507.0,42.0
97,1220.0,502.0,41.0
98,1228.0,493.0,41.0
99,1232.0,486.0,41.0
100,1237.0,480.0,39.0
101,1240.0,477.0,41.0
102,1244.0,469.0,41.0
103,1250.0,462.0,38.0
104,1255.0,458.0,37.0
105,1258.0,452.0,38.0
106,1262.0,447.0,38.0
107,1267.0,442.0,36.0
108,1271.0,435.0,36.0
109,1275.0,430.0,36.0
110,1279.0,424.0,36.0
111,1281.0,422.0,34.0
112,1285.0,415.0,34.0
113,1292.0,410.0,33.0
114,1293.0,405.0,33.0
115,1297.0,398.0,34.0
116,1300.0,395.0,33.0
117,1304.0,388.0,34.0
118,1306.0,384.0,33.0
119,1309.0,382.0,32.0
120,1311.0,378.0,31.0
121,1314.0,373.0,32.0
122,1318.0,372.0,29.0
123,1319.0,367.0,30.0
124,1323.0,362.0,31.0
125,1327.0,358.0,32.0
126,1328.0,354.0,30.0
127,1333.0,352.0,31.0
128,1333.0,348.0,29.0
129,1336.0,345.0,29.0
130,1337.0,342.0,29.0
131,1341.0,337.0,28.0
132,1342.0,333.0,28.0
133,1345.0,332.0,28.0
134,1346.0,329.0,27.0
135,1348.0,326.0,27.0
136,1351.0,323.0,27.0
137,1353.0,318.0,27.0
138,1354.0,315.0,27.0
