frame,x,y,radius,x_axis,y_axis,z_axis,angle
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,980.0,820.0,63.0,0.06174621846975376,0.3512229407573213,-0.9342536327948983,0.2932237219522847
71,995.0,800.0,62.0,0.06491898019310563,0.349267351475401,-0.9347715459961572,0.2932237219522847
72,1009.0,780.0,61.0,0.06817377619062424,0.34744252265434605,-0.9352197761443536,0.2932237219522847
73,1022.0,763.0,60.0,0.07152796316565112,0.34577063804166364,-0.9355888073045947,0.2932237219522847
74,1036.0,745.0,59.0,0.07500218655853878,0.3442802181905474,-0.9358663384127603,0.2932237219522847
75,1048.0,729.0,58.0,0.07861737173165431,0.3429941147349811,-0.9360418506237708,0.2932237219522847
76,1059.0,714.0,57.0,0.08239696187718347,0.3419382754383504,-0.9361030693591688,0.2932237219522847
77,1071.0,699.0,56.0,0.086365822025298,0.34113830790771704,-0.9360371785691817,0.2932237219522847
78,1081.0,686.0,55.0,0.09054974574132726,0.3406184904954941,-0.9358310678101854,0.2932237219522847
79,1091.0,673.0,54.0,0.0949747081365652,0.34039971963263643,-0.9354719855176834,0.2932237219522847
80,1101.0,659.0,54.0,0.09966633522429197,0.34049969910145866,-0.9349473656494119,0.2932237219522847
81,1110.0,647.0,53.0,0.10464901622214803,0.34093097367334024,-0.9342455001732065,0.2932237219522847
82,1119.0,635.0,52.0,0.10994505037509122,0.3416995899152763,-0.933356028613814,0.2932237219522847
83,1128.0,624.0,51.0,0.11557379263117858,0.3428038293270822,-0.9322704720495731,0.2923080815143291
84,1136.0,613.0,50.0,0.12155084950687119,0.3442330972758333,-0.9309827956111996,0.2913674570725535
