frame,x,y
67,339,2253
68,342,2238
69,344,2222
70,347,2207
71,349,2192
72,351,2176
73,354,2161
74,356,2146
75,358,2131
76,361,2115
77,363,2100
78,365,2084
79,367,2069
80,369,2054
81,372,2038
82,374,2023
83,376,2007
84,378,1992
85,380,1976
86,382,1961
87,384,1946
88,386,1930
89,388,1914
90,390,1899
91,392,1883
92,394,1868
93,396,1852
94,398,1837
95,400,1821
96,401,1805
97,404,1782
98,406,1766
99,407,1750
100,409,1734
101,411,1718
102,412,1702
103,414,1686
104,416,1670
105,417,1654
106,419,1638
107,421,1623
108,422,1607
109,424,1591
110,425,1575
111,427,1560
112,428,1544
113,430,1528
114,432,1513
115,433,1497
116,435,1482
117,436,1466
118,438,1451
119,439,1435
120,440,1420
121,442,1405
122,443,1389
123,445,1374
124,446,1359
125,447,1343
126,449,1328
127,450,1313
128,451,1298
129,452,1282
130,454,1267
131,455,1252
132,456,1237
133,457,1222
134,458,1207
135,460,1192
136,461,1176
137,462,1161
138,463,1146
139,464,1131
140,466,1116
141,467,1100
142,468,1085
143,469,1070
144,470,1054
145,472,1039
146,473,1024
147,474,1008
148,475,993
149,477,977
150,478,961
151,479,946
152,479,938
153,480,923
154,481,908
155,482,893
156,483,877
157,484,862
158,484,847
159,485,832
160,486,817
161,487,802
162,487,786
163,488,771
164,488,756
165,489,741
166,489,726
167,490,711
168,491,696
169,491,681
170,491,666
171,492,650
172,492,635
173,493,620
174,493,605
175,493,590
176,493,575
177,494,560
178,494,545
179,494,530
180,494,515
181,494,500
